paper_id,title,year,venue,official_track,in_active_corpus,abstract_reviewed,abstract_sha256,abstract,official_page,survey_role,survey_topics,survey_core_decision,survey_reason,advisor_role,advisor_topics,advisor_core_decision,advisor_reason,reading_status,needs_pdf_check,evidence_basis,pdf_boundary_check,pdf_boundary_finding
CVPR2024-0453,3D Feature Tracking via Event Camera,2024,CVPR,,yes,yes,7df817b9ad98d8d95191bb99198a89a31c829663daedb791173c71301bf0ee9c,This paper presents the first 3D feature tracking method with the corresponding dataset. Our proposed method takes event streams from stereo event cameras as input to predict 3D trajectories of the target features with high-speed motion. To achieve this our method leverages a joint framework to predict the 2D feature motion offsets and the 3D feature spatial position simultaneously. A motion compensation module is leveraged to overcome the feature deformation. A patch matching module based on bi-polarity hypergraph modeling is proposed to robustly estimate the feature spatial position. Meanwhile we collect the first 3D feature tracking dataset with high-speed moving objects and ground truth 3D feature trajectories at 250 FPS named E-3DTrack which can be used as the first high-speed 3D feature tracking benchmark. Our code and dataset could be found at: https://github.com/lisiqi19971013/E-3DTrack.,https://openaccess.thecvf.com/content/CVPR2024/html/Li_3D_Feature_Tracking_via_Event_Camera_CVPR_2024_paper.html,background,tracking;datasets_benchmarks,reference,"Event-camera 3D feature tracking and E-3DTrack can contextualize tracking tasks and non-SNN baselines, but the method contains no spiking computation.",exclude,,exclude,"The stereo tracking and hypergraph solver do not connect materially to SECNet's Event Cloud, scalable backbone, frequency, or SNN/hybrid method chain.",retained_reference,no,Codex semantic review of complete title + complete official abstract,not_needed,
CVPR2024-1880,A Simple and Effective Point-based Network for Event Camera 6-DOFs Pose Relocalization,2024,CVPR,,yes,yes,53b0dcc202c2baf43884af3af635608b8310d14a37aa410eccc127b9053a6010,Event cameras exhibit remarkable attributes such as high dynamic range asynchronicity and low latency making them highly suitable for vision tasks that involve high-speed motion in challenging lighting conditions. These cameras implicitly capture movement and depth information in events making them appealing sensors for Camera Pose Relocalization (CPR) tasks. Nevertheless existing CPR networks based on events neglect the pivotal fine-grained temporal information in events resulting in unsatisfactory performance. Moreover the energy-efficient features are further compromised by the use of excessively complex models hindering efficient deployment on edge devices. In this paper we introduce PEPNet a simple and effective point-based network designed to regress six degrees of freedom (6-DOFs) event camera poses. We rethink the relationship between the event camera and CPR tasks leveraging the raw Point Cloud directly as network input to harness the high-temporal resolution and inherent sparsity of events. PEPNet is adept at abstracting the spatial and implicit temporal features through hierarchical structure and explicit temporal features by Attentive Bi-directional Long Short-Term Memory (A-Bi-LSTM). By employing a carefully crafted lightweight design PEPNet delivers state-of-the-art (SOTA) performance on both indoor and outdoor datasets with meager computational resources. Specifically PEPNet attains a significant 38% and 33% performance improvement on the random split IJRR and M3ED datasets respectively. Moreover the lightweight design version PEPNet_ tiny accomplishes results comparable to the SOTA while employing a mere 0.5% of the parameters.,https://openaccess.thecvf.com/content/CVPR2024/html/Ren_A_Simple_and_Effective_Point-based_Network_for_Event_Camera_6-DOFs_CVPR_2024_paper.html,background,representation_slicing;pose_depth_segmentation;efficiency_hardware,core,"PEPNet is a non-spiking point/Event Cloud baseline that clarifies direct sparse-event input, temporal modeling, and lightweight comparison for SNN-event methods.",method_chain,event_cloud_point;grouping_sampling;scalability_efficiency;task_generalization,required,This advisor-group PEPNet paper is a direct predecessor in point-based Event Cloud processing and lightweight temporal modeling relevant to SECNet and its TPAMI extension.,survey_core;advisor_required,no,Codex semantic review of complete title + complete official abstract,not_needed,
CVPR2024-2231,An N-Point Linear Solver for Line and Motion Estimation with Event Cameras,2024,CVPR,,no,yes,3d002b7e42b6918891c69986fd5e57cf95d6a3c126d8524669aff0b9008f07b6,Event cameras respond primarily to edges---formed by strong gradients---and are thus particularly well-suited for line-based motion estimation. Recent work has shown that events generated by a single line each satisfy a polynomial constraint which describes a manifold in the space-time volume. Multiple such constraints can be solved simultaneously to recover the partial linear velocity and line parameters. In this work we show that with a suitable line parametrization this system of constraints is actually linear in the unknowns which allows us to design a novel linear solver. Unlike existing solvers our linear solver (i) is fast and numerically stable since it does not rely on expensive root finding (ii) can solve both minimal and overdetermined systems with more than 5 events and (iii) admits the characterization of all degenerate cases and multiple solutions. The found line parameters are singularity-free and have a fixed scale which eliminates the need for auxiliary constraints typically encountered in previous work. To recover the full linear camera velocity we fuse observations from multiple lines with a novel velocity averaging scheme that relies on a geometrically-motivated residual and thus solves the problem more efficiently than previous schemes which minimize an algebraic residual. Extensive experiments in synthetic and real-world settings demonstrate that our method surpasses the previous work in numerical stability and operates over 600 times faster.,https://openaccess.thecvf.com/content/CVPR2024/html/Gao_An_N-Point_Linear_Solver_for_Line_and_Motion_Estimation_with_CVPR_2024_paper.html,exclude,,exclude,The paper is a geometric linear solver for event-camera line and motion estimation and contributes no SNN mechanism or necessary integration background.,exclude,,exclude,Its polynomial constraints and velocity solver are outside the advisor method chain centered on learned Event Cloud representations and scalable neural architectures.,excluded_from_active_corpus,no,Codex semantic review of complete title + complete official abstract,not_needed,
CVPR2024-2342,Are Conventional SNNs Really Efficient? A Perspective from Network Quantization,2024,CVPR,,yes,yes,94e638e8678a398ba3ca48ef039f37ea60f19fd4adf3fda5349f3e5037af6a66,"Spiking Neural Networks (SNNs) have been widely praised for their high energy efficiency and immense potential. However comprehensive research that critically contrasts and correlates SNNs with quantized Artificial Neural Networks (ANNs) remains scant often leading to skewed comparisons lacking fairness towards ANNs. This paper introduces a unified perspective illustrating that the time steps in SNNs and quantized bit-widths of activation values present analogous representations. Building on this we present a more pragmatic and rational approach to estimating the energy consumption of SNNs. Diverging from the conventional Synaptic Operations (SynOps) we champion the ""Bit Budget"" concept. This notion permits an intricate discourse on strategically allocating computational and storage resources between weights activation values and temporal steps under stringent hardware constraints. Guided by the Bit Budget paradigm we discern that pivoting efforts towards spike patterns and weight quantization rather than temporal attributes elicits profound implications for model performance. Utilizing the Bit Budget for holistic design consideration of SNNs elevates model performance across diverse data types encompassing static imagery and neuromorphic datasets. Our revelations bridge the theoretical chasm between SNNs and quantized ANNs and illuminate a pragmatic trajectory for future endeavors in energy-efficient neural computations.",https://openaccess.thecvf.com/content/CVPR2024/html/Shen_Are_Conventional_SNNs_Really_Efficient_A_Perspective_from_Network_Quantization_CVPR_2024_paper.html,background,efficiency_hardware;robustness_open_challenges,core,"The Bit Budget comparison between SNNs and quantized ANNs is useful for evaluating energy claims fairly, but it is generic SNN work rather than an event-camera integration paper.",watch,scalability_efficiency;hardware;snn_hybrid,reference,"Its fairness framework for SNN/ANN efficiency may inform evaluation of a future efficient extension, although it is not part of the SECNet architecture chain.",survey_core,no,Codex semantic review of complete title + complete official abstract,not_needed,
CVPR2024-2506,Bilateral Event Mining and Complementary for Event Stream Super-Resolution,2024,CVPR,,no,yes,fa07f046afc45a5000118c0fce9fa00694a4b13d1c93be96007d0fe657f1f97d,Event Stream Super-Resolution (ESR) aims to address the challenge of insufficient spatial resolution in event streams which holds great significance for the application of event cameras in complex scenarios. Previous works for ESR often process positive and negative events in a mixed paradigm. This paradigm limits their ability to effectively model the unique characteristics of each event and mutually refine each other by considering their correlations. In this paper we propose a bilateral event mining and complementary network (BMCNet) to fully leverage the potential of each event and capture the shared information to complement each other simultaneously. Specifically we resort to a two-stream network to accomplish comprehensive mining of each type of events individually. To facilitate the exchange of information between two streams we propose a bilateral information exchange (BIE) module. This module is layer-wisely embedded between two streams enabling the effective propagation of hierarchical global information while alleviating the impact of invalid information brought by inherent characteristics of events. The experimental results demonstrate that our approach outperforms the previous state-of-the-art methods in ESR achieving performance improvements of over 11% on both real and synthetic datasets. Moreover our method significantly enhances the performance of event-based downstream tasks such as object recognition and video reconstruction. Our code is available at https://github.com/Lqm26/BMCNet-ESR.,https://openaccess.thecvf.com/content/CVPR2024/html/Huang_Bilateral_Event_Mining_and_Complementary_for_Event_Stream_Super-Resolution_CVPR_2024_paper.html,exclude,,exclude,BMCNet is an ANN event-stream super-resolution method; the abstract provides no SNN mechanism and its polarity-stream fusion is not essential background for the planned intersection survey.,exclude,,exclude,"The bilateral ESR architecture is task-specific and does not provide a clear Event Cloud, frequency/SSM, scalability, or advisor-method-chain contribution.",excluded_from_active_corpus,no,Codex semantic review of complete title + complete official abstract,not_needed,
CVPR2024-0704,CodedEvents: Optimal Point-Spread-Function Engineering for 3D-Tracking with Event Cameras,2024,CVPR,,no,yes,408ef8d3b449eb6bb470a9df2cbccf8485c4c5f715f03e7906ab08989da0d5c9,Point-spread-function (PSF) engineering is a well-established computational imaging technique that uses phase masks and other optical elements to embed extra information (e.g. depth) into the images captured by conventional CMOS image sensors. To date however PSF-engineering has not been applied to neuromorphic event cameras; a powerful new image sensing technology that responds to changes in the log-intensity of light. This paper establishes theoretical limits (Cramer Rao bounds) on 3D point localization and tracking with PSF-engineered event cameras. Using these bounds we first demonstrate that existing Fisher phase masks are already near-optimal for localizing static flashing point sources (e.g. blinking fluorescent molecules). We then demonstrate that existing designs are sub-optimal for tracking moving point sources and proceed to use our theory to design optimal phase masks and binary amplitude masks for this task. To overcome the non-convexity of the design problem we leverage novel implicit neural representation based parameterizations of the phase and amplitude masks. We demonstrate the efficacy of our designs through extensive simulations. We also validate our method with a simple prototype.,https://openaccess.thecvf.com/content/CVPR2024/html/Shah_CodedEvents_Optimal_Point-Spread-Function_Engineering_for_3D-Tracking_with_Event_Cameras_CVPR_2024_paper.html,exclude,,exclude,"The work concerns optical PSF and mask design for event-camera 3D tracking, not neural event-to-spike integration or a necessary SNN survey foundation.",exclude,,exclude,Computational optics and Cramer-Rao mask optimization are outside the SECNet/TPAMI neural representation and architecture direction.,excluded_from_active_corpus,no,Codex semantic review of complete title + complete official abstract,not_needed,
CVPR2024-0973,Complementing Event Streams and RGB Frames for Hand Mesh Reconstruction,2024,CVPR,,no,yes,0ef7636c3e83902fdccc73fff84f8237209e80f05e4286834e1674ad9eb33586,Reliable hand mesh reconstruction (HMR) from commonly-used color and depth sensors is challenging especially under scenarios with varied illuminations and fast motions. Event camera is a highly promising alternative for its high dynamic range and dense temporal resolution properties but it lacks key texture appearance for hand mesh reconstruction. In this paper we propose EvRGBHand -- the first approach for 3D hand mesh reconstruction with an event camera and an RGB camera compensating for each other. By fusing two modalities of data across time space and information dimensionsEvRGBHand can tackle overexposure and motion blur issues in RGB-based HMR and foreground scarcity and background overflow issues in event-based HMR. We further propose EvRGBDegrader which allows our model to generalize effectively in challenging scenes even when trained solely on standard scenes thus reducing data acquisition costs. Experiments on real-world data demonstrate that EvRGBHand can effectively solve the challenging issues when using either type of camera alone via retaining the merits of both and shows the potential of generalization to outdoor scenes and another type of event camera. Our code models and dataset will be made public after acceptance.,https://openaccess.thecvf.com/content/CVPR2024/html/Jiang_Complementing_Event_Streams_and_RGB_Frames_for_Hand_Mesh_Reconstruction_CVPR_2024_paper.html,exclude,,exclude,EvRGBHand is a conventional RGB-event multimodal hand reconstruction network without SNN computation and does not fill a required intersection-survey background role.,exclude,,exclude,"Its hand-mesh multimodal fusion is task-specific and not materially related to Event Cloud scalability, frequency modeling, or the advisor's SNN line.",excluded_from_active_corpus,no,Codex semantic review of complete title + complete official abstract,not_needed,
CVPR2024-1533,Efficient Meshflow and Optical Flow Estimation from Event Cameras,2024,CVPR,,yes,yes,7dc4e768ff4a73e10f895f7209b92555aacc837d75530098ba8f953e8b968929,In this paper we explore the problem of event-based meshflow estimation a novel task that involves predicting a spatially smooth sparse motion field from event cameras. To start we generate a large-scale High-Resolution Event Meshflow (HREM) dataset which showcases its superiority by encompassing the merits of high resolution at 1280x720 handling dynamic objects and complex motion patterns and offering both optical flow and meshflow labels. These aspects have not been fully explored in previous works. Besides we propose Efficient Event-based MeshFlow (EEMFlow) network a lightweight model featuring a specially crafted encoder-decoder architecture to facilitate swift and accurate meshflow estimation. Furthermore we upgrade EEMFlow network to support dense event optical flow in which a Confidence-induced Detail Completion (CDC) module is proposed to preserve sharp motion boundaries. We conduct comprehensive experiments to show the exceptional performance and runtime efficiency (39x faster) of our EEMFlow model compared to recent state-of-the-art flow methods. Our code is available at https://github.com/boomluo02/EEMFlow.,https://openaccess.thecvf.com/content/CVPR2024/html/Luo_Efficient_Meshflow_and_Optical_Flow_Estimation_from_Event_Cameras_CVPR_2024_paper.html,background,pose_depth_segmentation;efficiency_hardware;robustness_open_challenges,reference,EEMFlow supplies an efficient non-SNN event optical-flow baseline and helps expose an application gap where SNN-event methods remain limited.,exclude,,exclude,"The encoder-decoder meshflow method is not sufficiently close to SECNet's representation, grouping/sampling, or frequency-based scalable backbone.",retained_reference,no,Codex semantic review of complete title + complete official abstract,not_needed,
CVPR2024-0876,eTraM: Event-based Traffic Monitoring Dataset,2024,CVPR,,yes,yes,02ecfc3df229ef330a3e203e23c13b39b8b6a07574f797ccb0fe6a461b04b5e7,Event cameras with their high temporal and dynamic range and minimal memory usage have found applications in various fields. However their potential in static traffic monitoring remains largely unexplored. To facilitate this exploration we present eTraM - a first-of-its-kind fully event-based traffic monitoring dataset. eTraM offers 10 hr of data from different traffic scenarios in various lighting and weather conditions providing a comprehensive overview of real-world situations. Providing 2M bounding box annotations it covers eight distinct classes of traffic participants ranging from vehicles to pedestrians and micro-mobility. eTraM's utility has been assessed using state-of-the-art methods for traffic participant detection including RVT RED and YOLOv8. We quantitatively evaluate the ability of event-based models to generalize on nighttime and unseen scenes. Our findings substantiate the compelling potential of leveraging event cameras for traffic monitoring opening new avenues for research and application. eTraM is available at https://eventbasedvision.github.io/eTraM.,https://openaccess.thecvf.com/content/CVPR2024/html/Verma_eTraM_Event-based_Traffic_Monitoring_Dataset_CVPR_2024_paper.html,background,detection;datasets_benchmarks;robustness_open_challenges,reference,"eTraM is a substantial event-camera detection benchmark useful for task and dataset context, but it contributes no SNN architecture.",watch,datasets;task_generalization,reference,"The long-duration real-world traffic benchmark may be useful when discussing broader deployment/generalization, though it is not a direct SECNet method-chain paper.",retained_reference,no,Codex semantic review of complete title + complete official abstract,not_needed,
CVPR2024-2604,EvDiG: Event-guided Direct and Global Components Separation,2024,CVPR,,no,yes,9bc0cd460a6afa20862e5e1b4fa1c16ee06a289242666bd3d95526da54dc660d,Separating the direct and global components of a scene aids in shape recovery and basic material understanding. Conventional methods capture multiple frames under high frequency illumination patterns or shadows requiring the scene to keep stationary during the image acquisition process. Single-frame methods simplify the capture procedure but yield lower-quality separation results. In this paper we leverage the event camera to facilitate the separation of direct and global components enabling video-rate separation of high quality. In detail we adopt an event camera to record rapid illumination changes caused by the shadow of a line occluder sweeping over the scene and reconstruct the coarse separation results through event accumulation. We then design a network to resolve the noise in the coarse separation results and restore color information. A real-world dataset is collected using a hybrid camera system for network training and evaluation. Experimental results show superior performance over state-of-the-art methods.,https://openaccess.thecvf.com/content/CVPR2024/html/Zhou_EvDiG_Event-guided_Direct_and_Global_Components_Separation_CVPR_2024_paper.html,exclude,,exclude,EvDiG is a specialized event-guided inverse-imaging application without SNN computation or a necessary foundation for the intersection survey.,exclude,,exclude,Its shadow-based capture and color-restoration pipeline do not connect to the targeted Event Cloud/scalable architecture extension.,excluded_from_active_corpus,no,Codex semantic review of complete title + complete official abstract,not_needed,
