paper_id,title,year,venue,survey_role,survey_topics,survey_reason,official_track,pdf_link,official_page,card_path
CVPR2025-1714,Towards Effective and Sparse Adversarial Attack on Spiking Neural Networks via Breaking Invisible Surrogate Gradients,2025,CVPR,included,robustness_open_challenges;event_to_spike,"The attack explicitly targets SNNs on binary DVS data and exposes event-stream-specific robustness issues, but it is peripheral to the main architecture/training narrative.",,https://openaccess.thecvf.com/content/CVPR2025/papers/Lun_Towards_Effective_and_Sparse_Adversarial_Attack_on_Spiking_Neural_Networks_CVPR_2025_paper.pdf,https://openaccess.thecvf.com/content/CVPR2025/html/Lun_Towards_Effective_and_Sparse_Adversarial_Attack_on_Spiking_Neural_Networks_CVPR_2025_paper.html,01-papers-by-conference/CVPR2025/A/2025-CVPR-A-towards-effective-and-sparse-adversarial-attack-on-spiking-neural-networks-via-breaking-in.md
ECCV2024-1737,REDIR: Refocus-free Event-based De-occlusion Image Reconstruction,2024,ECCV,included,architecture;temporal_modeling;reconstruction_restoration;learning,"REDIR integrates an SNN block with spatiotemporal attention for pure-event de-occlusion reconstruction, providing hybrid reconstruction coverage beyond classification and detection.",,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/10433.pdf,https://eccv.ecva.net/virtual/2024/poster/2118,01-papers-by-conference/ECCV2024/A/2024-ECCV-A-redir-refocus-free-event-based-de-occlusion-image-reconstruction.md
ICLR2026-0792,3DSMT: A Hybrid Spiking Mamba-Transformer for Point Cloud Analysis,2026,ICLR,background,architecture;efficiency_hardware,3DSMT is a hybrid spiking Mamba-Transformer for conventional 3D point clouds; its sparse-computation evidence is SNN background rather than Event Cloud evidence.,,https://proceedings.iclr.cc/paper_files/paper/2026/file/27c8b849acba6793f0b73f7ee7ea7397-Paper-Conference.pdf,https://proceedings.iclr.cc/paper_files/paper/2026/hash/27c8b849acba6793f0b73f7ee7ea7397-Abstract-Conference.html,01-papers-by-conference/ICLR2026/C/ICLR2026-0792.md
ICLR2026-5290,A Brain-Inspired Gating Mechanism Unlocks Robust Computation in Spiking Neural Networks,2026,ICLR,background,architecture;temporal_modeling;robustness_open_challenges,DGN adds activity-dependent membrane conductance for selective filtering and noise robustness in generic SNNs.,,https://proceedings.iclr.cc/paper_files/paper/2026/file/fc92064236f06645e0b5ec5a8a16565d-Paper-Conference.pdf,https://proceedings.iclr.cc/paper_files/paper/2026/hash/fc92064236f06645e0b5ec5a8a16565d-Abstract-Conference.html,01-papers-by-conference/ICLR2026/C/ICLR2026-5290.md
ICLR2026-0763,A Unified Total Variation Framework for Membrane Potential Perturbation Dynamic,2026,ICLR,background,architecture;learning;robustness_open_challenges,"The TV-l1 interpretation of membrane-potential perturbation dynamics is generic SNN robustness and denoising evidence, not event-camera integration.",,https://proceedings.iclr.cc/paper_files/paper/2026/file/25c5133ad2ab138f448b71b3c7345ec3-Paper-Conference.pdf,https://proceedings.iclr.cc/paper_files/paper/2026/hash/25c5133ad2ab138f448b71b3c7345ec3-Abstract-Conference.html,01-papers-by-conference/ICLR2026/C/ICLR2026-0763.md
ICLR2026-0214,Advancing Spatiotemporal Representations in Spiking Neural Networks via Parametric Invertible Transformation,2026,ICLR,background,architecture;temporal_modeling;learning;efficiency_hardware,PIT expands binary spike representations and corrects surrogate-gradient mismatch; neuromorphic datasets remain evaluation rather than an event-camera-specific contribution.,,https://proceedings.iclr.cc/paper_files/paper/2026/file/0ac46bb0a72a7afe311d9b48b5088df8-Paper-Conference.pdf,https://proceedings.iclr.cc/paper_files/paper/2026/hash/0ac46bb0a72a7afe311d9b48b5088df8-Abstract-Conference.html,01-papers-by-conference/ICLR2026/C/ICLR2026-0214.md
CVPR2026-3465,AIMDepth: Asymmetric Image-Event Mamba for Monocular Depth Estimation,2026,CVPR,background,pose_depth_segmentation;temporal_modeling;architecture,AIMDepth is non-spiking event-image depth background; its detachable Fourier SCPG module is Advisor evidence rather than a reason to make Mamba/SSM a survey axis.,,https://openaccess.thecvf.com/content/CVPR2026/papers/Jing_AIMDepth_Asymmetric_Image-Event_Mamba_for_Monocular_Depth_Estimation_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/content/CVPR2026/html/Jing_AIMDepth_Asymmetric_Image-Event_Mamba_for_Monocular_Depth_Estimation_CVPR_2026_paper.html,01-papers-by-conference/CVPR2026/B/2026-CVPR-B-aimdepth-asymmetric-image-event-mamba-for-monocular-depth-estimation.md
CVPR2026-4013,ARES: Unifying Asymmetric RGB-Event Stereo for Probabilistic Scene Flow Estimation,2026,CVPR,background,pose_depth_segmentation;temporal_modeling,ARES supplies non-spiking RGB-event stereo and scene-flow modeling background.,,https://openaccess.thecvf.com/content/CVPR2026/papers/Lee_ARES_Unifying_Asymmetric_RGB-Event_Stereo_for_Probabilistic_Scene_Flow_Estimation_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/content/CVPR2026/html/Lee_ARES_Unifying_Asymmetric_RGB-Event_Stereo_for_Probabilistic_Scene_Flow_Estimation_CVPR_2026_paper.html,01-papers-by-conference/CVPR2026/B/2026-CVPR-B-ares-unifying-asymmetric-rgb-event-stereo-for-probabilistic-scene-flow-estimation.md
CVPR2026-2514,Beyond Duality: A Hybrid Framework of Leveraging Shared and Private Features for RGB-Event Object Detection,2026,CVPR,background,detection;representation_slicing,SPFD gives non-spiking frequency-domain RGB-event feature disentanglement for detection.,,https://openaccess.thecvf.com/content/CVPR2026/papers/Wang_Beyond_Duality_A_Hybrid_Framework_of_Leveraging_Shared_and_Private_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/content/CVPR2026/html/Wang_Beyond_Duality_A_Hybrid_Framework_of_Leveraging_Shared_and_Private_CVPR_2026_paper.html,01-papers-by-conference/CVPR2026/B/2026-CVPR-B-beyond-duality-a-hybrid-framework-of-leveraging-shared-and-private-features-for-rgb-event-.md
ICLR2026-2610,Beyond Linear Processing: Dendritic Bilinear Integration in Spiking Neural Networks,2026,ICLR,background,architecture;temporal_modeling;efficiency_hardware,DLIF adds bilinear dendritic integration to generic SNN neurons; DVS benchmarks are evaluation only.,,https://proceedings.iclr.cc/paper_files/paper/2026/file/7d1fe4f9eecba80469c7434d1c725ec2-Paper-Conference.pdf,https://proceedings.iclr.cc/paper_files/paper/2026/hash/7d1fe4f9eecba80469c7434d1c725ec2-Abstract-Conference.html,01-papers-by-conference/ICLR2026/C/ICLR2026-2610.md
CVPR2026-1217,Bidirectional Cross-Modal Prompting for Event-Frame Asymmetric Stereo,2026,CVPR,background,pose_depth_segmentation;learning,Cross-modal event-frame stereo prompting is non-spiking transfer background.,,https://openaccess.thecvf.com/content/CVPR2026/papers/Xu_Bidirectional_Cross-Modal_Prompting_for_Event-Frame_Asymmetric_Stereo_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/content/CVPR2026/html/Xu_Bidirectional_Cross-Modal_Prompting_for_Event-Frame_Asymmetric_Stereo_CVPR_2026_paper.html,01-papers-by-conference/CVPR2026/B/2026-CVPR-B-bidirectional-cross-modal-prompting-for-event-frame-asymmetric-stereo.md
ICLR2026-0875,Biologically Plausible Learning via Bidirectional Spike-Based Distillation,2026,ICLR,background,architecture;learning,BSD trains forward and backward spiking networks through spike-based distillation as a biologically plausible alternative to backpropagation.,,https://proceedings.iclr.cc/paper_files/paper/2026/file/2b3a408f243e5bad72c19fc9db732229-Paper-Conference.pdf,https://proceedings.iclr.cc/paper_files/paper/2026/hash/2b3a408f243e5bad72c19fc9db732229-Abstract-Conference.html,01-papers-by-conference/ICLR2026/C/ICLR2026-0875.md
ICLR2026-0603,Breaking Gradient Temporal Collinearity for Robust Spiking Neural Networks,2026,ICLR,background,architecture;temporal_modeling;learning;robustness_open_challenges,"STOD analyzes temporal gradient collinearity in direct SNN encoding and improves robustness, but it is not designed around event-camera data.",,https://proceedings.iclr.cc/paper_files/paper/2026/file/1e282939ceea7962697a0b8eeecf0960-Paper-Conference.pdf,https://proceedings.iclr.cc/paper_files/paper/2026/hash/1e282939ceea7962697a0b8eeecf0960-Abstract-Conference.html,01-papers-by-conference/ICLR2026/C/ICLR2026-0603.md
ICLR2026-3902,Cannistraci-Hebb Training on Ultra-Sparse Spiking Neural Networks,2026,ICLR,background,architecture;learning;efficiency_hardware,CH-SNN jointly exploits activation and structural sparsity and includes processor-level efficiency evidence for generic SNN deployment.,,https://proceedings.iclr.cc/paper_files/paper/2026/file/baa7fc022f35b6ea7b8b2a2fe60babe0-Paper-Conference.pdf,https://proceedings.iclr.cc/paper_files/paper/2026/hash/baa7fc022f35b6ea7b8b2a2fe60babe0-Abstract-Conference.html,01-papers-by-conference/ICLR2026/C/ICLR2026-3902.md
ICLR2026-1722,CaRe-BN: Precise Moving Statistics for Stabilizing Spiking Neural Networks in Reinforcement Learning,2026,ICLR,background,learning;efficiency_hardware,CaRe-BN stabilizes online SNN reinforcement learning through adaptive normalization statistics while leaving inference unchanged.,,https://proceedings.iclr.cc/paper_files/paper/2026/file/5321b1dabcd2be188d796c21b733e8c7-Paper-Conference.pdf,https://proceedings.iclr.cc/paper_files/paper/2026/hash/5321b1dabcd2be188d796c21b733e8c7-Abstract-Conference.html,01-papers-by-conference/ICLR2026/C/ICLR2026-1722.md
CVPR2026-3561,DarkShake-DVS: Event-based Human Action Recognition under Low-light and Shaking Camera Conditions,2026,CVPR,background,classification_recognition;datasets_benchmarks;robustness_open_challenges,"DarkShake-DVS supplies event-side action-recognition robustness and a real benchmark, but no explicit SNN.",,https://openaccess.thecvf.com/content/CVPR2026/papers/Chen_DarkShake-DVS_Event-based_Human_Action_Recognition_under_Low-light_and_Shaking_Camera_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/content/CVPR2026/html/Chen_DarkShake-DVS_Event-based_Human_Action_Recognition_under_Low-light_and_Shaking_Camera_CVPR_2026_paper.html,01-papers-by-conference/CVPR2026/B/2026-CVPR-B-darkshake-dvs-event-based-human-action-recognition-under-low-light-and-shaking-camera-cond.md
