id,title,authors,conference,year,official_page,pdf_link,matched_keywords,matched_axis,classification_reason
ECCV2024-0029,Motion and Structure from Event-based Normal Flow,Zhongyang Ren; Bangyan Liao; Delei Kong; Jinghang Li; Peidong Liu; Laurent Kneip; Guillermo Gallego; Yi Zhou,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/2480,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/07261.pdf,event; event-based,Ambiguous,Broad title keyword match from the unified retrieval pool; official abstract/page inspection is required before A/B/C promotion.
ECCV2024-0069,LiDAR-Event Stereo Fusion with Hallucinations,Luca Bartolomei; Matteo Poggi; Andrea Conti; Stefano Mattoccia,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/999,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/00932.pdf,event,Ambiguous,Broad title keyword match from the unified retrieval pool; official abstract/page inspection is required before A/B/C promotion.
ECCV2024-0096,Asynchronous Bioplausible Neuron for Spiking Neural Networks for Event-Based Vision,Hussain Sajwani; Dimitrios Makris; Yahya Zweiri; Fariborz Baghaei Naeini; Sanket Mr Kachole,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/1172,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/08133.pdf,spiking neural networks; event; event-based; event-based vision; asynchronous; spiking,Ambiguous,Broad title keyword match from the unified retrieval pool; official abstract/page inspection is required before A/B/C promotion.
ECCV2024-0183,Towards Real-world Event-guided Low-light Video Enhancement and Deblurring,Taewoo Kim; Jaeseok Jeong; Hoonhee Cho; Yuhwan Jeong; KUK-JIN YOON,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/651,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/01982.pdf,event,Ambiguous,Broad title keyword match from the unified retrieval pool; official abstract/page inspection is required before A/B/C promotion.
ECCV2024-0213,Label-anticipated Event Disentanglement for Audio-Visual Video Parsing,Jinxing Zhou; Dan Guo; Yuxin Mao; Yiran Zhong; Xiaojun Chang; Meng Wang,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/1478,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/01492.pdf,event,Ambiguous,Broad title keyword match from the unified retrieval pool; official abstract/page inspection is required before A/B/C promotion. Final screening: E - Official abstract/page does not confirm event-camera/DVS/event-stream data or SNN/spiking neural computation.
ECCV2024-0268,Learning to Robustly Reconstruct Dynamic Scenes from Low-light Spike Streams,Liwen Hu; gang ding; Mianzhi Liu; Lei Ma; Tiejun Huang,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/1641,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/02547.pdf,spike,Ambiguous,Broad title keyword match from the unified retrieval pool; official abstract/page inspection is required before A/B/C promotion. Final screening: D - Spike camera / spike streams paper; not event camera/DVS and not SNN computation.
ECCV2024-0527,BeNeRF:Neural Radiance Fields from a Single Blurry Image and Event Stream,Wenpu Li; Pian Wan; Peng Wang; Jinghang Li; Yi Zhou; Peidong Liu,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/553,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/04596.pdf,event stream; event,Ambiguous,Broad title keyword match from the unified retrieval pool; official abstract/page inspection is required before A/B/C promotion.
ECCV2024-0537,Integer-Valued Training and Spike-driven Inference Spiking Neural Network for High-performance and Energy-efficient Object Detection,Xinhao Luo; Man Yao; Yuhong Chou; Bo Xu; Guoqi Li,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/150,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/04704.pdf,spiking neural network; spike; spiking,Ambiguous,Broad title keyword match from the unified retrieval pool; official abstract/page inspection is required before A/B/C promotion.
ECCV2024-0564,Efficient Training of Spiking Neural Networks with Multi-Parallel Implicit Stream Architecture,Zhigao Cao; Meng Li; Xiashuang Wang; Haoyu Wang; Fan Wang; Youjun Li; Zigang Huang,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/1548,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/05068.pdf,spiking neural networks; spiking,Ambiguous,Broad title keyword match from the unified retrieval pool; official abstract/page inspection is required before A/B/C promotion.
ECCV2024-0580,Temporal Event Stereo via Joint Learning with Stereoscopic Flow,Hoonhee Cho; Jae-young Kang; KUK-JIN YOON,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/1741,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/05185.pdf,event,Ambiguous,Broad title keyword match from the unified retrieval pool; official abstract/page inspection is required before A/B/C promotion.
