id,title,authors,conference,year,official_page,pdf_link,status_or_award
ECCV2024-0001,4D Contrastive Superflows are Dense 3D Representation Learners,Xiang Xu; Lingdong Kong; Hui Shuai; Wenwei Zhang; Liang Pan; Kai Chen; Ziwei Liu; Qingshan Liu,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/238,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/00019.pdf,2024 Poster
ECCV2024-0002,Octopus: Embodied Vision-Language Programmer from Environmental Feedback,Jingkang Yang; Yuhao Dong; Shuai Liu; Bo Li; Ziyue Wang; ChenCheng Jiang; Haoran Tan; Jiamu Kang; Yuanhan Zhang; Kaiyang Zhou; Ziwei Liu,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/1486,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/00006.pdf,2024 Poster
ECCV2024-0003,ItTakesTwo: Leveraging Peer Representations for Semi-supervised LiDAR Semantic Segmentation,Yuyuan Liu; Yuanhong Chen; Hu Wang; Vasileios Belagiannis; Ian Reid; Gustavo Carneiro,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/1530,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/00022.pdf,2024 Poster
ECCV2024-0004,Weakly Supervised 3D Object Detection via Multi-Level Visual Guidance,Kuan-Chih Huang; Yi-Hsuan Tsai; Ming-Hsuan Yang,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/1723,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/00055.pdf,2024 Poster
ECCV2024-0005,Modeling and Driving Human Body Soundfields through Acoustic Primitives,Chao Huang; Dejan Markovic; Chenliang Xu; Alexander Richard,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/1280,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/01481.pdf,2024 Poster
ECCV2024-0006,Motion Mamba: Efficient and Long Sequence Motion Generation,Zeyu Zhang; Akide Liu; Ian Reid; Richard Hartley; Bohan Zhuang; Hao Tang,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/655,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/00100.pdf,2024 Poster
ECCV2024-0007,Learning to Generate Conditional Tri-plane for 3D-aware Expression Controllable Portrait Animation,Taekyung Ki; Dongchan Min; Gyeongsu Chae,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/1640,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/00159.pdf,2024 Poster
ECCV2024-0008,SAGS: Structure-Aware 3D Gaussian Splatting,Evangelos Ververas; Rolandos Alexandros Potamias; Song Jifei; Jiankang Deng; Stefanos Zafeiriou,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/1304,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/02887.pdf,2024 Poster
ECCV2024-0009,MSD: A Benchmark Dataset for Floor Plan Generation of Building Complexes,Casper van Engelenburg; Fatemeh Mostafavi; Emanuel Kuhn; Yuntae Jeon; Michael Franzen; Matthias Standfest; Jan Gemert; Seyran Khademi,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/2064,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/07514.pdf,2024 Poster
ECCV2024-0010,Guide-and-Rescale: Self-Guidance Mechanism for Effective Tuning-Free Real Image Editing,Vadim Titov; Madina Khalmatova; Alexandra Ivanova; Dmitry P Vetrov; Aibek Alanov,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/1408,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/08987.pdf,2024 Poster
ECCV2024-0011,3DGazeNet: Generalizing Gaze Estimation with Weak Supervision from Synthetic Views,Evangelos Ververas; Polydefkis Gkagkos; Jiankang Deng; Michail C Doukas; Jia Guo; Stefanos Zafeiriou,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/2247,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/03191.pdf,2024 Poster
ECCV2024-0012,Generating Physically Realistic and Directable Human Motions from Multi-Modal Inputs,Aayam Shrestha; Pan Liu; German Ros; Kai Yuan; Alan Fern,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/1393,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/07885.pdf,2024 Poster
ECCV2024-0013,Enhancing Perceptual Quality in Video Super-Resolution through Temporally-Consistent Detail Synthesis using Diffusion Models,Claudio Rota; Marco Buzzelli; Joost Van de Weijer,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/1051,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/01824.pdf,2024 Poster
ECCV2024-0014,Disentangling Masked Autoencoders for Unsupervised Domain Generalization,An Zhang; Han Wang; Xiang Wang; Tat-Seng Chua,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/836,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/08861.pdf,2024 Poster
ECCV2024-0015,SemGrasp: Semantic Grasp Generation via Language Aligned Discretization,Kailin Li; Jingbo Wang; Lixin Yang; Cewu Lu; Bo Dai,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/1361,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/00193.pdf,2024 Poster
ECCV2024-0016,BAM-DETR: Boundary-Aligned Moment Detection Transformer for Temporal Sentence Grounding in Videos,Pilhyeon Lee; Hyeran Byun,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/2577,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/00212.pdf,2024 Poster
ECCV2024-0017,Optimizing Factorized Encoder Models: Time and Memory Reduction for Scalable and Efficient Action Recognition,Shreyank Narayana Gowda; Anurag Arnab; Jonathan Huang,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/1470,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/01635.pdf,2024 Poster
ECCV2024-0018,MarineInst: A Foundation Model for Marine Image Analysis with Instance Visual Description,Ziqiang Zheng; Yiwei Chen; Huimin Zeng; Tuan-Anh Vu; Binh-Son Hua; Sai Kit Yeung,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/865,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/00223.pdf,2024 Poster
ECCV2024-0019,BRAVE: Broadening the visual encoding of vision-language models,Oguzhan Fatih Kar; Alessio Tonioni; Petra Poklukar; Achin Kulshrestha; Amir Zamir; Federico Tombari,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/2001,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/02433.pdf,2024 Poster
ECCV2024-0020,Motion-prior Contrast Maximization for Dense Continuous-Time Motion Estimation,Friedhelm Hamann; Ziyun Wang; Ioannis Asmanis; Kenneth Chaney; Guillermo Gallego; Kostas Daniilidis,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/1740,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/00304.pdf,2024 Poster
ECCV2024-0021,SplatFields: Neural Gaussian Splats for Sparse 3D and 4D Reconstruction,Marko Mihajlovic; Sergey Prokudin; Siyu Tang; Robert Maier; Federica Bogo; Tony Tung; Edmond Boyer,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/914,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/00254.pdf,2024 Poster
ECCV2024-0022,CPT-VR: Improving Surface Rendering via Closest Point Transform with View-Reflection Appearance,Zhipeng Hu; Yongqiang Zhang; Chen Liu; Lincheng Li; Sida Peng; Xiaowei Zhou; Changjie Fan; Xin Yu,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/561,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/09272.pdf,2024 Poster
ECCV2024-0023,OGNI-DC: Robust Depth Completion with Optimization-Guided Neural Iterations,Yiming Zuo; Jia Deng,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/1364,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/00319.pdf,2024 Poster
