id,title,authors,conference,year,official_page,pdf_link,matched_keywords,matched_axis,classification_reason
ICCV2025-0082,Event-based Tiny Object Detection: A Benchmark Dataset and Baseline,Nuo Chen; Chao Xiao; Yimian Dai; Shiman He; Miao Li; Wei An,ICCV,2025,https://openaccess.thecvf.com/content/ICCV2025/html/Chen_Event-based_Tiny_Object_Detection_A_Benchmark_Dataset_and_Baseline_ICCV_2025_paper.html,,event cameras; event camera visual-event context; event cameras visual-event context; event-based object visual-event context; event-based with event-camera context,Event Camera axis,Strict two-stage rescan: title keyword hit inspected via official abstract/page. Final screening: B - Official abstract/page strictly confirms event-camera/DVS/visual-event-sensor evidence; no clear SNN evidence found.
ICCV2025-0096,EMoTive: Event-guided Trajectory Modeling for 3D Motion Estimation,Zengyu Wan; Wei Zhai; Yang Cao; Zhengjun Zha,ICCV,2025,https://openaccess.thecvf.com/content/ICCV2025/html/Wan_EMoTive_Event-guided_Trajectory_Modeling_for_3D_Motion_Estimation_ICCV_2025_paper.html,,event cameras; event camera visual-event context; event cameras visual-event context; event-based with event-camera context,Event Camera axis,Strict two-stage rescan: title keyword hit inspected via official abstract/page. Final screening: B - Official abstract/page strictly confirms event-camera/DVS/visual-event-sensor evidence; no clear SNN evidence found.
ICCV2025-0109,Event-Driven Storytelling with Multiple Lifelike Humans in a 3D Scene,Donggeun Lim; Jinseok Bae; Inwoo Hwang; Seungmin Lee; Hwanhee Lee; Young Min Kim,ICCV,2025,https://openaccess.thecvf.com/content/ICCV2025/html/Lim_Event-Driven_Storytelling_with_Multiple_Lifelike_Humans_in_a_3D_Scene_ICCV_2025_paper.html,,event; event-driven,Ambiguous,Strict two-stage rescan: title keyword hit inspected via official abstract/page. Final screening: E - Official abstract/page inspection did not strictly confirm event-camera/DVS or SNN relevance.
ICCV2025-0209,Asynchronous Event Error-Minimizing Noise for Safeguarding Event Dataset,Ruofei Wang; Peiqi Duan; Boxin Shi; Renjie Wan,ICCV,2025,https://openaccess.thecvf.com/content/ICCV2025/html/Wang_Asynchronous_Event_Error-Minimizing_Noise_for_Safeguarding_Event_Dataset_ICCV_2025_paper.html,,event dataset visual-event context; event datasets visual-event context; event stream with event-camera context,Event Camera axis,Strict two-stage rescan: title keyword hit inspected via official abstract/page. Final screening: B - Official abstract/page strictly confirms event-camera/DVS/visual-event-sensor evidence; no clear SNN evidence found.
ICCV2025-0339,Simultaneous Motion And Noise Estimation with Event Cameras,Shintaro Shiba; Yoshimitsu Aoki; Guillermo Gallego,ICCV,2025,https://openaccess.thecvf.com/content/ICCV2025/html/Shiba_Simultaneous_Motion_And_Noise_Estimation_with_Event_Cameras_ICCV_2025_paper.html,,event cameras; event camera visual-event context; event cameras visual-event context,Event Camera axis,Strict two-stage rescan: title keyword hit inspected via official abstract/page. Final screening: B - Official abstract/page strictly confirms event-camera/DVS/visual-event-sensor evidence; no clear SNN evidence found.
ICCV2025-0526,Generic Event Boundary Detection via Denoising Diffusion,Jaejun Hwang; Dayoung Gong; Manjin Kim; Minsu Cho,ICCV,2025,https://openaccess.thecvf.com/content/ICCV2025/html/Hwang_Generic_Event_Boundary_Detection_via_Denoising_Diffusion_ICCV_2025_paper.html,,event,Ambiguous,Strict two-stage rescan: title keyword hit inspected via official abstract/page. Final screening: E - Official abstract/page inspection did not strictly confirm event-camera/DVS or SNN relevance.
ICCV2025-0738,Separation for Better Integration: Disentangling Edge and Motion in Event-based Deblurring,Yufei Zhu; Hao Chen; Yongjian Deng; Wei You,ICCV,2025,https://openaccess.thecvf.com/content/ICCV2025/html/Zhu_Separation_for_Better_Integration_Disentangling_Edge_and_Motion_in_Event-based_ICCV_2025_paper.html,,event cameras; event camera visual-event context; event cameras visual-event context; event-based deblurring visual-event context; event-based with event-camera context,Event Camera axis,Strict two-stage rescan: title keyword hit inspected via official abstract/page. Final screening: B - Official abstract/page strictly confirms event-camera/DVS/visual-event-sensor evidence; no clear SNN evidence found.
ICCV2025-0830,Enhanced Event-based Dense Stereo via Cross-Sensor Knowledge Distillation,Haihao Zhang; Yunjian Zhang; Jianing Li; Lin Zhu; Meng Lv; Yao Zhu; Yanwei Liu; Xiangyang Ji,ICCV,2025,https://openaccess.thecvf.com/content/ICCV2025/html/Zhang_Enhanced_Event-based_Dense_Stereo_via_Cross-Sensor_Knowledge_Distillation_ICCV_2025_paper.html,,event cameras; event camera visual-event context; event cameras visual-event context; event-based with event-camera context,Event Camera axis,Strict two-stage rescan: title keyword hit inspected via official abstract/page. Final screening: B - Official abstract/page strictly confirms event-camera/DVS/visual-event-sensor evidence; no clear SNN evidence found.
ICCV2025-0835,StreamMind: Unlocking Full Frame Rate Streaming Video Dialogue through Event-Gated Cognition,Xin Ding; Hao Wu; Yifan Yang; Shiqi Jiang; Qianxi Zhang; Donglin Bai; Zhibo Chen; Ting Cao,ICCV,2025,https://openaccess.thecvf.com/content/ICCV2025/html/Ding_StreamMind_Unlocking_Full_Frame_Rate_Streaming_Video_Dialogue_through_Event-Gated_ICCV_2025_paper.html,,event,Ambiguous,Strict two-stage rescan: title keyword hit inspected via official abstract/page. Final screening: E - Official abstract/page inspection did not strictly confirm event-camera/DVS or SNN relevance.
ICCV2025-0953,Continuous-Time Human Motion Field from Event Cameras,Ziyun Wang; Ruijun Zhang; Zi-Yan Liu; Yufu Wang; Kostas Daniilidis,ICCV,2025,https://openaccess.thecvf.com/content/ICCV2025/html/Wang_Continuous-Time_Human_Motion_Field_from_Event_Cameras_ICCV_2025_paper.html,,event cameras; event camera visual-event context; event cameras visual-event context,Event Camera axis,Strict two-stage rescan: title keyword hit inspected via official abstract/page. Final screening: B - Official abstract/page strictly confirms event-camera/DVS/visual-event-sensor evidence; no clear SNN evidence found.
