id,title,authors,conference,year,level,category,official_page,pdf_link,abstract,matched_keywords,classification_reason,card_path,notes
ICLR2024-0193,A Progressive Training Framework for Spiking Neural Networks with Learnable Multi-hierarchical Model,"Zecheng Hao, Xinyu Shi, Zihan Huang, Tong Bu, Zhaofei Yu, Tiejun Huang",ICLR,2024,C,SNN,https://proceedings.iclr.cc/paper_files/paper/2024/hash/148865706acbd18627d3fc15cc3f3b93-Abstract-Conference.html,https://proceedings.iclr.cc/paper_files/paper/2024/file/148865706acbd18627d3fc15cc3f3b93-Paper-Conference.pdf,"Spiking Neural Networks (SNNs) have garnered considerable attention due to their energy efficiency and unique biological characteristics. However, the widely adopted Leaky Integrate-and-Fire (LIF) model, as the mainstream neuron model in current SNN research, has been revealed to exhibit significant deficiencies in deep-layer gradient calculation and capturing global information on the time dimension. In this paper, we propose the Learnable Multi-hierarchical (LM-H) model to address these issues by dynamically regulating its membrane-related factors. We point out that the LM-H model fully encompasses the information representation range of the LIF model while offering the flexibility to adjust the extraction ratio between historical and current information. Additionally, we theoretically demonstrate the effectiveness of the LM-H model and the functionality of its internal parameters, and propose a progressive training algorithm tailored specifically for the LM-H model. Furthermore, we devise an efficient training framework for our novel advanced model, encompassing hybrid training and time-slicing online training. Through extensive experiments on various datasets, we validate the remarkable superiority of our model and training algorithm compared to previous state-of-the-art approaches. Code is available at https://github.com/hzc1208/STBP_LMH .",spiking neural networks; spiking,Official abstract/page strictly confirms SNN/spiking neural computation; no clear event-camera/DVS evidence found.,01-papers-by-conference/ICLR2024/C/2024-ICLR-C-a-progressive-training-framework-for-spiking-neural-networks-with-learnable-multi-hierarch.md,strict two-stage screening; official abstract/page inspected; main conference; needs human verification
ICLR2024-0249,EventRPG: Event Data Augmentation with Relevance Propagation Guidance,"Mingyuan Sun, Donghao Zhang, Zongyuan Ge, Jiaxu Wang, Jia Li, Zheng Fang, Renjing Xu",ICLR,2024,A,SNN + Event Camera,https://proceedings.iclr.cc/paper_files/paper/2024/hash/19dbb86f771ddbf9986cf0c9b1c61c17-Abstract-Conference.html,https://proceedings.iclr.cc/paper_files/paper/2024/file/19dbb86f771ddbf9986cf0c9b1c61c17-Paper-Conference.pdf,"Event camera, a novel bio-inspired vision sensor, has drawn a lot of attention for its low latency, low power consumption, and high dynamic range. Currently, overfitting remains a critical problem in event-based classification tasks for Spiking Neural Network (SNN) due to its relatively weak spatial representation capability. Data augmentation is a simple but efficient method to alleviate overfitting and improve the generalization ability of neural networks, and saliency-based augmentation methods are proven to be effective in the image processing field. However, there is no approach available for extracting saliency maps from SNNs. Therefore, for the first time, we present Spiking Layer-Time-wise Relevance Propagation rule (SLTRP) and Spiking Layer-wise Relevance Propagation rule (SLRP) in order for SNN to generate stable and accurate CAMs and saliency maps. Based on this, we propose EventRPG, which leverages relevance propagation on the spiking neural network for more efficient augmentation. Our proposed method has been evaluated on several SNN structures, achieving state-of-the-art performance in object recognition tasks including N-Caltech101, CIFAR10-DVS, with accuracies of 85.62% and 85.55%, as well as action recognition task SL-Animals with an accuracy of 91.59%. Our code is available at https://github.com/myuansun/EventRPG.",event; event data,Official abstract/page strictly confirms both event-camera/DVS/visual-event-stream evidence and SNN/spiking neural computation.,01-papers-by-conference/ICLR2024/A/2024-ICLR-A-eventrpg-event-data-augmentation-with-relevance-propagation-guidance.md,strict two-stage screening; official abstract/page inspected; main conference; needs human verification
ICLR2024-0272,TAB: Temporal Accumulated Batch Normalization in Spiking Neural Networks,"Haiyan Jiang, Vincent Zoonekynd, Giulia De Masi, Bin Gu, Huan Xiong",ICLR,2024,C,SNN,https://proceedings.iclr.cc/paper_files/paper/2024/hash/1bd8cfc0e4c53869b7f1d0ed4b1e78e1-Abstract-Conference.html,https://proceedings.iclr.cc/paper_files/paper/2024/file/1bd8cfc0e4c53869b7f1d0ed4b1e78e1-Paper-Conference.pdf,"Spiking Neural Networks (SNNs) are attracting growing interest for their energy-efficient computing when implemented on neuromorphic hardware. However, directly training SNNs, even adopting batch normalization (BN), is highly challenging due to their non-differentiable activation function and the temporally delayed accumulation of outputs over time. For SNN training, this temporal accumulation gives rise to Temporal Covariate Shifts (TCS) along the temporal dimension, a phenomenon that would become increasingly pronounced with layer-wise computations across multiple layers and multiple time-steps. In this paper, we introduce TAB (Temporal Accumulated Batch Normalization), a novel SNN batch normalization method that addresses the temporal covariate shift issue by aligning with neuron dynamics (specifically the accumulated membrane potential) and utilizing temporal accumulated statistics for data normalization. Within its framework, TAB effectively encapsulates the historical temporal dependencies that underlie the membrane potential accumulation process, thereby establishing a natural connection between neuron dynamics and TAB batch normalization. Experimental results on CIFAR-10, CIFAR-100, and DVS-CIFAR10 show that our TAB method outperforms other state-of-the-art methods.",spiking neural networks; spiking,Manual boundary check: generic SNN batch-normalization/training method; event-camera evidence appears mainly as DVS benchmark usage.,01-papers-by-conference/ICLR2024/C/2024-ICLR-C-tab-temporal-accumulated-batch-normalization-in-spiking-neural-networks.md,strict two-stage screening; official abstract/page inspected; main conference; needs human verification
ICLR2024-0476,LMUFormer: Low Complexity Yet Powerful Spiking Model With Legendre Memory Units,"Zeyu Liu, Gourav Datta, Anni Li, Peter Beerel",ICLR,2024,C,SNN,https://proceedings.iclr.cc/paper_files/paper/2024/hash/3353b22e6b85a76d45d6b01aa4328be5-Abstract-Conference.html,https://proceedings.iclr.cc/paper_files/paper/2024/file/3353b22e6b85a76d45d6b01aa4328be5-Paper-Conference.pdf,"Transformer models have demonstrated high accuracy in numerous applications but have high complexity and lack sequential processing capability making them ill-suited for many streaming applications at the edge where devices are heavily resource-constrained. Thus motivated, many researchers have proposed reformulating the transformer models as RNN modules which modify the self-attention computation with explicit states. However, these approaches often incur significant performance degradation.The ultimate goal is to develop a model that has the following properties: parallel training, streaming and low-cost inference, and state-of-the-art (SOTA) performance. In this paper, we propose a new direction to achieve this goal. We show how architectural modifications to a fully-sequential recurrent model can help push its performance toward Transformer models while retaining its sequential processing capability. Specifically, inspired by the recent success of Legendre Memory Units (LMU) in sequence learning tasks, we propose LMUFormer, which augments the LMU with convolutional patch embedding and convolutional channel mixer. Moreover, we present a spiking version of this architecture, which introduces the benefit of states within the patch embedding and channel mixer modules while simultaneously reducing the computing complexity. We evaluated our architectures on multiple sequence datasets. Of particular note is our performance on the Speech Commands V2 dataset (35 classes). In comparison to SOTA transformer-based models within the ANN domain, our LMUFormer demonstrates comparable performance while necessitating a remarkable $70\times$ reduction in parameters and a substantial $140\times$ decrement in FLOPs. Furthermore, when benchmarked against extant low-complexity SNN variants, our model establishes a new SOTA with an accuracy of 96.12\%. Additionally, owing to our model's proficiency in real-time data processing, we are able to achieve a 32.03\% reduction in sequence length, all while incurring an inconsequential decline in performance.",spiking,Official abstract/page strictly confirms SNN/spiking neural computation; no clear event-camera/DVS evidence found.,01-papers-by-conference/ICLR2024/C/2024-ICLR-C-lmuformer-low-complexity-yet-powerful-spiking-model-with-legendre-memory-units.md,strict two-stage screening; official abstract/page inspected; main conference; needs human verification
ICLR2024-0651,Hebbian Learning based Orthogonal Projection for Continual Learning of Spiking Neural Networks,"Mingqing Xiao, Qingyan Meng, Zongpeng Zhang, Di He, Zhouchen Lin",ICLR,2024,C,SNN,https://proceedings.iclr.cc/paper_files/paper/2024/hash/46b1be2b90c6addc84efdf5d7e90eebc-Abstract-Conference.html,https://proceedings.iclr.cc/paper_files/paper/2024/file/46b1be2b90c6addc84efdf5d7e90eebc-Paper-Conference.pdf,"Neuromorphic computing with spiking neural networks is promising for energy-efficient artificial intelligence (AI) applications. However, different from humans who continually learn different tasks in a lifetime, neural network models suffer from catastrophic forgetting. How could neuronal operations solve this problem is an important question for AI and neuroscience. Many previous studies draw inspiration from observed neuroscience phenomena and propose episodic replay or synaptic metaplasticity, but they are not guaranteed to explicitly preserve knowledge for neuron populations. Other works focus on machine learning methods with more mathematical grounding, e.g., orthogonal projection on high dimensional spaces, but there is no neural correspondence for neuromorphic computing. In this work, we develop a new method with neuronal operations based on lateral connections and Hebbian learning, which can protect knowledge by projecting activity traces of neurons into an orthogonal subspace so that synaptic weight update will not interfere with old tasks. We show that Hebbian and anti-Hebbian learning on recurrent lateral connections can effectively extract the principal subspace of neural activities and enable orthogonal projection. This provides new insights into how neural circuits and Hebbian learning can help continual learning, and also how the concept of orthogonal projection can be realized in neuronal systems. Our method is also flexible to utilize arbitrary training methods based on presynaptic activities/traces. Experiments show that our method consistently solves forgetting for spiking neural networks with nearly zero forgetting under various supervised training methods with different error propagation approaches, and outperforms previous approaches under various settings. Our method can pave a solid path for building continual neuromorphic computing systems. The code is available at https://github.com/pkuxmq/HLOP-SNN.",spiking neural networks; spiking,Official abstract/page strictly confirms SNN/spiking neural computation; no clear event-camera/DVS evidence found.,01-papers-by-conference/ICLR2024/C/2024-ICLR-C-hebbian-learning-based-orthogonal-projection-for-continual-learning-of-spiking-neural-netw.md,strict two-stage screening; official abstract/page inspected; main conference; needs human verification
ICLR2024-0718,Learning Delays in Spiking Neural Networks using Dilated Convolutions with Learnable Spacings,"Ilyass Hammouamri, Ismail Khalfaoui Hassani, Timothée Masquelier",ICLR,2024,C,SNN,https://proceedings.iclr.cc/paper_files/paper/2024/hash/4df1cc5a7528b7197ad8ae76ff30107a-Abstract-Conference.html,https://proceedings.iclr.cc/paper_files/paper/2024/file/4df1cc5a7528b7197ad8ae76ff30107a-Paper-Conference.pdf,"Spiking Neural Networks (SNNs) are a promising research direction for building power-efficient information processing systems, especially for temporal tasks such as speech recognition. In SNNs, delays refer to the time needed for one spike to travel from one neuron to another. These delays matter because they influence the spike arrival times, and it is well-known that spiking neurons respond more strongly to coincident input spikes. More formally, it has been shown theoretically that plastic delays greatly increase the expressivity in SNNs. Yet, efficient algorithms to learn these delays have been lacking. Here, we propose a new discrete-time algorithm that addresses this issue in deep feedforward SNNs using backpropagation, in an offline manner. To simulate delays between consecutive layers, we use 1D convolutions across time. The kernels contain only a few non-zero weights – one per synapse – whose positions correspond to the delays. These positions are learned together with the weights using the recently proposed Dilated Convolution with Learnable Spacings (DCLS). We evaluated our method on three datasets: the Spiking Heidelberg Dataset (SHD), the Spiking Speech Commands (SSC) and its non spiking version Google Speech Commands v0.02 (GSC) benchmarks, which require detecting temporal patterns. We used feedforward SNNs with two or three hidden fully connected layers, and vanilla leaky integrate-and-fire neurons. We showed that fixed random delays help and that learning them helps even more. Furthermore, our method outperformed the state-of-the-art in the three datasets without using recurrent connections and with substantially fewer parameters. Our work demonstrates the potential of delay learning in developing accurate and precise models for temporal data processing. Our code is based on PyTorch / SpikingJelly and available at: https://github.com/Thvnvtos/SNN-delays",spiking neural networks; spiking,Official abstract/page strictly confirms SNN/spiking neural computation; no clear event-camera/DVS evidence found.,01-papers-by-conference/ICLR2024/C/2024-ICLR-C-learning-delays-in-spiking-neural-networks-using-dilated-convolutions-with-learnable-spaci.md,strict two-stage screening; official abstract/page inspected; main conference; needs human verification
ICLR2024-0723,Sparse Spiking Neural Network: Exploiting Heterogeneity in Timescales for Pruning Recurrent SNN,"Biswadeep Chakraborty, Beomseok Kang, Harshit Kumar, Saibal Mukhopadhyay",ICLR,2024,C,SNN,https://proceedings.iclr.cc/paper_files/paper/2024/hash/4e5f5e4504759e3957e3eef2a44a535e-Abstract-Conference.html,https://proceedings.iclr.cc/paper_files/paper/2024/file/4e5f5e4504759e3957e3eef2a44a535e-Paper-Conference.pdf,"Recurrent Spiking Neural Networks (RSNNs) have emerged as a computationally efficient and brain-inspired machine learning model. The design of sparse RSNNs with fewer neurons and synapses helps reduce the computational complexity of RSNNs. Traditionally, sparse SNNs are obtained by first training a dense and complex SNN for a target task and, next, eliminating neurons with low activity (activity-based pruning) while maintaining task performance. In contrast, this paper presents a task-agnostic methodology for designing sparse RSNNs by pruning an untrained (arbitrarily initialized) large model. We introduce a novel Lyapunov Noise Pruning (LNP) algorithm that uses graph sparsification methods and utilizes Lyapunov exponents to design a stable sparse RSNN from an untrained RSNN. We show that the LNP can leverage diversity in neuronal timescales to design a sparse Heterogeneous RSNN (HRSNN). Further, we show that the same sparse HRSNN model can be trained for different tasks, such as image classification and time-series prediction. The experimental results show that, in spite of being task-agnostic, LNP increases computational efficiency (fewer neurons and synapses) and prediction performance of RSNNs compared to traditional activity-based pruning of trained dense models.",spiking neural network; SNN; spiking,Official abstract/page strictly confirms SNN/spiking neural computation; no clear event-camera/DVS evidence found.,01-papers-by-conference/ICLR2024/C/2024-ICLR-C-sparse-spiking-neural-network-exploiting-heterogeneity-in-timescales-for-pruning-recurrent.md,strict two-stage screening; official abstract/page inspected; main conference; needs human verification
ICLR2024-0730,Adaptive deep spiking neural network with global-local learning via balanced excitatory and inhibitory mechanism,"Tingting Jiang, Qi Xu, Xuming Ran, Jiangrong Shen, Pan Lv, Qiang Zhang, Gang Pan",ICLR,2024,C,SNN,https://proceedings.iclr.cc/paper_files/paper/2024/hash/4ec43957eda1126ad4887995d05fae3b-Abstract-Conference.html,https://proceedings.iclr.cc/paper_files/paper/2024/file/4ec43957eda1126ad4887995d05fae3b-Paper-Conference.pdf,"The training method of Spiking Neural Networks (SNNs) is an essential problem, and how to integrate local and global learning is a worthy research interest. However, the current integration methods do not consider the network conditions suitable for local and global learning, and thus fail to balance their advantages. In this paper, we propose an Excitation-Inhibition Mechanism-assisted Hybrid Learning(EIHL) algorithm that adjusts the network connectivity by using the excitation-inhibition mechanism and then switches between local and global learning according to the network connectivity. The experimental results on CIFAR10/100 and DVS-CIFAR10 demonstrate that the EIHL not only has better accuracy performance than other methods but also has excellent sparsity advantage. Especially, the Spiking VGG11 is trained by EIHL, STBP, and STDP on DVS_CIFAR10, respectively. The accuracy of the Spiking VGG11 model on EIHL is 62.45%, which is 4.35% higher than STBP and 11.40% higher than STDP, and the sparsity is 18.74%, which is 18.74% higher than the other two methods. Moreover, the excitation-inhibition mechanism used in our method also offers a new perspective on the field of SNN learning.",spiking neural network; spiking,Manual boundary check: generic SNN learning method; event-camera evidence appears mainly as DVS-CIFAR10 benchmark usage.,01-papers-by-conference/ICLR2024/C/2024-ICLR-C-adaptive-deep-spiking-neural-network-with-global-local-learning-via-balanced-excitatory-an.md,strict two-stage screening; official abstract/page inspected; main conference; needs human verification
ICLR2024-1097,SpikePoint: An Efficient Point-based Spiking Neural Network for Event Cameras Action Recognition,"Hongwei Ren, Yue ZHOU, Xiaopeng LIN, Yulong Huang, Haotian FU, Jie Song, Bojun Cheng",ICLR,2024,A,SNN + Event Camera,https://proceedings.iclr.cc/paper_files/paper/2024/hash/75f1a165c7561e028c41d42fa6286a76-Abstract-Conference.html,https://proceedings.iclr.cc/paper_files/paper/2024/file/75f1a165c7561e028c41d42fa6286a76-Paper-Conference.pdf,"Event cameras are bio-inspired sensors that respond to local changes in light intensity and feature low latency, high energy efficiency, and high dynamic range. Meanwhile, Spiking Neural Networks (SNNs) have gained significant attention due to their remarkable efficiency and fault tolerance. By synergistically harnessing the energy efficiency inherent in event cameras and the spike-based processing capabilities of SNNs, their integration could enable ultra-low-power application scenarios, such as action recognition tasks. However, existing approaches often entail converting asynchronous events into conventional frames, leading to additional data mapping efforts and a loss of sparsity, contradicting the design concept of SNNs and event cameras. To address this challenge, we propose SpikePoint, a novel end-to-end point-based SNN architecture. SpikePoint excels at processing sparse event cloud data, effectively extracting both global and local features through a singular-stage structure. Leveraging the surrogate training method, SpikePoint achieves high accuracy with few parameters and maintains low power consumption, specifically employing the identity mapping feature extractor on diverse datasets. SpikePoint achieves state-of-the-art (SOTA) performance on four event-based action recognition datasets using only 16 timesteps, surpassing other SNN methods. Moreover, it also achieves SOTA performance across all methods on three datasets, utilizing approximately 0.3 % of the parameters and 0.5 % of power consumption employed by artificial neural networks (ANNs). These results emphasize the significance of Point Cloud and pave the way for many ultra-low-power event-based data processing applications.",event cameras; spiking neural network; event; spiking,Official abstract/page strictly confirms both event-camera/DVS/visual-event-stream evidence and SNN/spiking neural computation.,01-papers-by-conference/ICLR2024/A/2024-ICLR-A-spikepoint-an-efficient-point-based-spiking-neural-network-for-event-cameras-action-recogn.md,strict two-stage screening; official abstract/page inspected; main conference; needs human verification
ICLR2024-1522,Spatio-Temporal Approximation: A Training-Free SNN Conversion for Transformers,"Yizhou Jiang, Kunlin Hu, Tianren Zhang, Haichuan Gao, Yuqian Liu, Ying Fang, Feng Chen",ICLR,2024,C,SNN,https://proceedings.iclr.cc/paper_files/paper/2024/hash/a875c5600e933e56aad7d63439b11b35-Abstract-Conference.html,https://proceedings.iclr.cc/paper_files/paper/2024/file/a875c5600e933e56aad7d63439b11b35-Paper-Conference.pdf,"Spiking neural networks (SNNs) are energy-efficient and hold great potential for large-scale inference. Since training SNNs from scratch is costly and has limited performance, converting pretrained artificial neural networks (ANNs) to SNNs is an attractive approach that retains robust performance without additional training data and resources. However, while existing conversion methods work well on convolution networks, emerging Transformer models introduce unique mechanisms like self-attention and test-time normalization, leading to non-causal non-linear interactions unachievable by current SNNs. To address this, we approximate these operations in both temporal and spatial dimensions, thereby providing the first SNN conversion pipeline for Transformers. We propose \textit{Universal Group Operators} to approximate non-linear operations spatially and a \textit{Temporal-Corrective Self-Attention Layer} that approximates spike multiplications at inference through an estimation-correction approach. Our algorithm is implemented on a pretrained ViT-B/32 from CLIP, inheriting its zero-shot classification capabilities, while improving control over conversion losses. To our knowledge, this is the first direct training-free conversion of a pretrained Transformer to a purely event-driven SNN, promising for neuromorphic hardware deployment.",SNN,Official abstract/page strictly confirms SNN/spiking neural computation; no clear event-camera/DVS evidence found.,01-papers-by-conference/ICLR2024/C/2024-ICLR-C-spatio-temporal-approximation-a-training-free-snn-conversion-for-transformers.md,strict two-stage screening; official abstract/page inspected; main conference; needs human verification
