id,title,authors,conference,year,official_page,pdf_link,matched_keywords,matched_axis,classification_reason
ICLR2025-0145,Asynchronous RLHF: Faster and More Efficient Off-Policy RL for Language Models,"Michael Noukhovitch, Shengyi Huang, Sophie Xhonneux, Arian Hosseini, Rishabh Agarwal, Aaron Courville",ICLR,2025,https://proceedings.iclr.cc/paper_files/paper/2025/hash/0b99315234cc95e6ef281f9155b68832-Abstract-Conference.html,https://proceedings.iclr.cc/paper_files/paper/2025/file/0b99315234cc95e6ef281f9155b68832-Paper-Conference.pdf,asynchronous,Ambiguous,Broad title keyword candidate inspected via official abstract/page. Final screening: E - Official abstract/page inspection did not confirm event-camera/DVS or SNN relevance.
ICLR2025-0522,Quantized Spike-driven Transformer,"Xuerui Qiu, Malu Zhang, Jieyuan Zhang, Wenjie Wei, Honglin Cao, Junsheng Guo, Rui-Jie Zhu, Yimeng Shan, Yang Yang, Haizhou Li",ICLR,2025,https://proceedings.iclr.cc/paper_files/paper/2025/hash/25c0fe7b157821dd3140727dc07461da-Abstract-Conference.html,https://proceedings.iclr.cc/paper_files/paper/2025/file/25c0fe7b157821dd3140727dc07461da-Paper-Conference.pdf,spike,SNN axis,Broad title keyword candidate inspected via official abstract/page. Final screening: C - Official abstract/page strictly confirms SNN/spiking neural computation; no clear event-camera/DVS evidence found.
ICLR2025-0595,RGB-Event ISP: The Dataset and Benchmark,"Yunfan LU, Yanlin Qian, Ziyang Rao, Junren Xiao, Liming Chen, Hui Xiong",ICLR,2025,https://proceedings.iclr.cc/paper_files/paper/2025/hash/2a25d9d873e9ae6d242c62e36f89ee3a-Abstract-Conference.html,https://proceedings.iclr.cc/paper_files/paper/2025/file/2a25d9d873e9ae6d242c62e36f89ee3a-Paper-Conference.pdf,event,Event Camera axis,Broad title keyword candidate inspected via official abstract/page. Final screening: B - Official abstract/page strictly confirms event-camera/DVS/visual-event-stream evidence; no clear SNN evidence found.
ICLR2025-0844,No Need to Talk: Asynchronous Mixture of Language Models,"Anastasiia Filippova, Angelos Katharopoulos, David Grangier, Ronan Collobert",ICLR,2025,https://proceedings.iclr.cc/paper_files/paper/2025/hash/3ae2d3297891cad0c56dd12d60ff7dde-Abstract-Conference.html,https://proceedings.iclr.cc/paper_files/paper/2025/file/3ae2d3297891cad0c56dd12d60ff7dde-Paper-Conference.pdf,asynchronous,Ambiguous,Broad title keyword candidate inspected via official abstract/page. Final screening: E - Official abstract/page inspection did not confirm event-camera/DVS or SNN relevance.
ICLR2025-0872,Spiking Vision Transformer with Saccadic Attention,"Shuai Wang, Malu Zhang, Dehao Zhang, Ammar Belatreche, Yichen Xiao, Yu Liang, Yimeng Shan, Qian Sun, Enqi Zhang, Yang Yang",ICLR,2025,https://proceedings.iclr.cc/paper_files/paper/2025/hash/3c85f70d3fd83f4fba47e117e5429f35-Abstract-Conference.html,https://proceedings.iclr.cc/paper_files/paper/2025/file/3c85f70d3fd83f4fba47e117e5429f35-Paper-Conference.pdf,spiking,SNN axis,Broad title keyword candidate inspected via official abstract/page. Final screening: C - Official abstract/page strictly confirms SNN/spiking neural computation; no clear event-camera/DVS evidence found.
ICLR2025-1006,TS-LIF: A Temporal Segment Spiking Neuron Network for Time Series Forecasting,"Shibo Feng, Wanjin Feng, Xingyu Gao, Peilin Zhao, Zhiqi Shen",ICLR,2025,https://proceedings.iclr.cc/paper_files/paper/2025/hash/45bd303ea32a8193d3c19de5d5eaf138-Abstract-Conference.html,https://proceedings.iclr.cc/paper_files/paper/2025/file/45bd303ea32a8193d3c19de5d5eaf138-Paper-Conference.pdf,spiking neuron; lif; spiking,SNN axis,Broad title keyword candidate inspected via official abstract/page. Final screening: C - Official abstract/page strictly confirms SNN/spiking neural computation; no clear event-camera/DVS evidence found.
ICLR2025-1030,Rare event modeling with self-regularized normalizing flows: what can we learn from a single failure?,"Charles Dawson, Van Tran, Max Li, Chuchu Fan",ICLR,2025,https://proceedings.iclr.cc/paper_files/paper/2025/hash/47007f359f14cbeefcd60693c6989dd7-Abstract-Conference.html,https://proceedings.iclr.cc/paper_files/paper/2025/file/47007f359f14cbeefcd60693c6989dd7-Paper-Conference.pdf,event,Ambiguous,Broad title keyword candidate inspected via official abstract/page. Final screening: E - Official abstract/page inspection did not confirm event-camera/DVS or SNN relevance.
ICLR2025-1177,SpikeLLM: Scaling up Spiking Neural Network to Large Language Models via Saliency-based Spiking,"Xingrun Xing, Boyan Gao, Zheng Liu, David Clifton, Shitao Xiao, Wanpeng Zhang, Li Du, Zheng Zhang, Guoqi Li, Jiajun Zhang",ICLR,2025,https://proceedings.iclr.cc/paper_files/paper/2025/hash/510e7d39fce008a3e31de54b8f5be9ac-Abstract-Conference.html,https://proceedings.iclr.cc/paper_files/paper/2025/file/510e7d39fce008a3e31de54b8f5be9ac-Paper-Conference.pdf,spiking neural network; spiking,SNN axis,Broad title keyword candidate inspected via official abstract/page. Final screening: C - Official abstract/page strictly confirms SNN/spiking neural computation; no clear event-camera/DVS evidence found.
ICLR2025-1232,Rethinking Spiking Neural Networks from an Ensemble Learning Perspective,"Yongqi Ding, Lin Zuo, Mengmeng Jing, Pei He, Hanpu Deng",ICLR,2025,https://proceedings.iclr.cc/paper_files/paper/2025/hash/5543342b8c45c0cba04f832390cfb23c-Abstract-Conference.html,https://proceedings.iclr.cc/paper_files/paper/2025/file/5543342b8c45c0cba04f832390cfb23c-Paper-Conference.pdf,spiking neural networks; spiking,Both axes,Broad title keyword candidate inspected via official abstract/page. Final screening: A - Official abstract/page strictly confirms both event-camera/DVS/visual-event-stream evidence and SNN/spiking neural computation.
ICLR2025-1399,Enabling Realtime Reinforcement Learning at Scale with Staggered Asynchronous Inference,"Matt Riemer, Gopeshh Raaj Subbaraj, Glen Berseth, Irina Rish",ICLR,2025,https://proceedings.iclr.cc/paper_files/paper/2025/hash/61715c5379f9061abc9d8efe3f1723e4-Abstract-Conference.html,https://proceedings.iclr.cc/paper_files/paper/2025/file/61715c5379f9061abc9d8efe3f1723e4-Paper-Conference.pdf,asynchronous,Ambiguous,Broad title keyword candidate inspected via official abstract/page. Final screening: E - Official abstract/page inspection did not confirm event-camera/DVS or SNN relevance.
ICLR2025-1551,DeepTAGE: Deep Temporal-Aligned Gradient Enhancement for Optimizing Spiking Neural Networks,"Wei Liu, Li Yang, Mingxuan Zhao, Shuxun Wang, Jin Gao, Wenjuan Li, Bing Li, Weiming Hu",ICLR,2025,https://proceedings.iclr.cc/paper_files/paper/2025/hash/6b6492cd06db22bac024506e9ed0925e-Abstract-Conference.html,https://proceedings.iclr.cc/paper_files/paper/2025/file/6b6492cd06db22bac024506e9ed0925e-Paper-Conference.pdf,spiking neural networks; spiking,Both axes,Broad title keyword candidate inspected via official abstract/page. Final screening: A - Official abstract/page strictly confirms both event-camera/DVS/visual-event-stream evidence and SNN/spiking neural computation.
ICLR2025-1688,An Asynchronous Bundle Method for Distributed Learning Problems,"Daniel Cederberg, Xuyang Wu, Stephen Boyd, Mikael Johansson",ICLR,2025,https://proceedings.iclr.cc/paper_files/paper/2025/hash/74d5d77a27a30e262fe8f7ee4d99edd8-Abstract-Conference.html,https://proceedings.iclr.cc/paper_files/paper/2025/file/74d5d77a27a30e262fe8f7ee4d99edd8-Paper-Conference.pdf,asynchronous,Ambiguous,Broad title keyword candidate inspected via official abstract/page. Final screening: E - Official abstract/page inspection did not confirm event-camera/DVS or SNN relevance.
