id,title,authors,conference,year,official_page,pdf_link,status_or_award,source_url
ICLR2026-0001,MAGREF: Masked Guidance for Any-Reference Video Generation with Subject Disentanglement,"Yufan Deng, Yuanyang Yin, Xun Guo, Yizhi Wang, Zhiyuan Fang, Shenghai Yuan, Yiding Yang, Angtian Wang, Bo Liu, Haibin Huang, Chongyang Ma",ICLR,2026,https://proceedings.iclr.cc/paper_files/paper/2026/hash/0021c2cb1b9b6a71ac478ea52a93b25a-Abstract-Conference.html,https://proceedings.iclr.cc/paper_files/paper/2026/file/0021c2cb1b9b6a71ac478ea52a93b25a-Paper-Conference.pdf,Main Conference,https://proceedings.iclr.cc/paper_files/paper/2026
ICLR2026-0002,LinguaMap: Which Layers of LLMs Speak Your Language and How to Tune Them?,"J. Ben Tamo, Daniel Carlander-Reuterfelt, Jonathan Rubin, Oleg Poliannikov, Dezhi Hong, Mingxian Wang",ICLR,2026,https://proceedings.iclr.cc/paper_files/paper/2026/hash/00295cede6e1600d344b5cd6d9fd4640-Abstract-Conference.html,https://proceedings.iclr.cc/paper_files/paper/2026/file/00295cede6e1600d344b5cd6d9fd4640-Paper-Conference.pdf,Main Conference,https://proceedings.iclr.cc/paper_files/paper/2026
ICLR2026-0003,LongHorizonUI: A Unified Framework for Robust long-horizon Task Automation of GUI Agent,"Bin Kang, Shaoguo Wen, YIFEI BI, Shunlong Wu, Xinbin Yuan, Rui Shao, Junle Wang, Zhuotao Tian",ICLR,2026,https://proceedings.iclr.cc/paper_files/paper/2026/hash/002a6bef26174b590e4eab95b63feb1b-Abstract-Conference.html,https://proceedings.iclr.cc/paper_files/paper/2026/file/002a6bef26174b590e4eab95b63feb1b-Paper-Conference.pdf,Main Conference,https://proceedings.iclr.cc/paper_files/paper/2026
ICLR2026-0004,DiffVax: Optimization-Free Image Immunization Against Diffusion-Based Editing,"Tarik Can Ozden, Ozgur Kara, Oguzhan Akcin, Kerem Zaman, Shashank Srivastava, Sandeep Chinchali, James Rehg",ICLR,2026,https://proceedings.iclr.cc/paper_files/paper/2026/hash/0054c8a2c903d46496ca1f98d1322988-Abstract-Conference.html,https://proceedings.iclr.cc/paper_files/paper/2026/file/0054c8a2c903d46496ca1f98d1322988-Paper-Conference.pdf,Main Conference,https://proceedings.iclr.cc/paper_files/paper/2026
ICLR2026-0005,Is the Reversal Curse a Binding Problem? Uncovering Limitations of Transformers from a Basic Generalization Failure,"Boshi Wang, Huan Sun",ICLR,2026,https://proceedings.iclr.cc/paper_files/paper/2026/hash/00a0ebcad584c59dbc439c2af8793638-Abstract-Conference.html,https://proceedings.iclr.cc/paper_files/paper/2026/file/00a0ebcad584c59dbc439c2af8793638-Paper-Conference.pdf,Main Conference,https://proceedings.iclr.cc/paper_files/paper/2026
ICLR2026-0006,Smooth Calibration Error: Uniform Convergence and Functional Gradient Analysis,"Futoshi Futami, Atsushi Nitanda",ICLR,2026,https://proceedings.iclr.cc/paper_files/paper/2026/hash/00a5213b3479c9733eb3743459badc6b-Abstract-Conference.html,https://proceedings.iclr.cc/paper_files/paper/2026/file/00a5213b3479c9733eb3743459badc6b-Paper-Conference.pdf,Main Conference,https://proceedings.iclr.cc/paper_files/paper/2026
ICLR2026-0007,EasyTune: Efficient Step-Aware Fine-Tuning for Diffusion-Based Motion Generation,"Xiaofeng Tan, Wanjiang Weng, Haodong Lei, Hongsong Wang",ICLR,2026,https://proceedings.iclr.cc/paper_files/paper/2026/hash/00b67df24009747e8bbed4c2c6f9c825-Abstract-Conference.html,https://proceedings.iclr.cc/paper_files/paper/2026/file/00b67df24009747e8bbed4c2c6f9c825-Paper-Conference.pdf,Main Conference,https://proceedings.iclr.cc/paper_files/paper/2026
ICLR2026-0008,Neural Posterior Estimation with Latent Basis Expansions,"Declan McNamara, Yicun Duan, Jeffrey Regier",ICLR,2026,https://proceedings.iclr.cc/paper_files/paper/2026/hash/00ba1ebd7939b6324427a7372ac81abb-Abstract-Conference.html,https://proceedings.iclr.cc/paper_files/paper/2026/file/00ba1ebd7939b6324427a7372ac81abb-Paper-Conference.pdf,Main Conference,https://proceedings.iclr.cc/paper_files/paper/2026
ICLR2026-0009,MIMIC: Mask-Injected Manipulation Video Generation with Interaction Control,"Tianxiao Chen, Jintao Rong, Huajin Chen, Jingya Wang, Tao Zhou, Jiming Chen, Qi Ye",ICLR,2026,https://proceedings.iclr.cc/paper_files/paper/2026/hash/00c489c74bc720a20b3b2cb2b9c308ae-Abstract-Conference.html,https://proceedings.iclr.cc/paper_files/paper/2026/file/00c489c74bc720a20b3b2cb2b9c308ae-Paper-Conference.pdf,Main Conference,https://proceedings.iclr.cc/paper_files/paper/2026
ICLR2026-0010,TIMESLIVER : SYMBOLIC-LINEAR DECOMPOSITION FOR EXPLAINABLE TIME SERIES CLASSIFICATION,"Akash Pandey, Payal Mohapatra, Wei Chen, Qi Zhu, Sinan Keten",ICLR,2026,https://proceedings.iclr.cc/paper_files/paper/2026/hash/00c5c0f92581f8b8230c9f349126a73a-Abstract-Conference.html,https://proceedings.iclr.cc/paper_files/paper/2026/file/00c5c0f92581f8b8230c9f349126a73a-Paper-Conference.pdf,Main Conference,https://proceedings.iclr.cc/paper_files/paper/2026
