id,title,authors,conference,year,official_page,pdf_link,status_or_award,source_url
ICML2024-0001,Revisiting Character-level Adversarial Attacks for Language Models,"Elias Abad Rocamora, Yongtao Wu, Fanghui Liu, Grigorios Chrysos, Volkan Cevher",ICML,2024,https://proceedings.mlr.press/v235/abad-rocamora24a.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/abad-rocamora24a/abad-rocamora24a.pdf,Main Conference,https://proceedings.mlr.press/v235/
ICML2024-0002,Adaptively Perturbed Mirror Descent for Learning in Games,"Kenshi Abe, Kaito Ariu, Mitsuki Sakamoto, Atsushi Iwasaki",ICML,2024,https://proceedings.mlr.press/v235/abe24a.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/abe24a/abe24a.pdf,Main Conference,https://proceedings.mlr.press/v235/
ICML2024-0003,InferCept: Efficient Intercept Support for Augmented Large Language Model Inference,"Reyna Abhyankar, Zijian He, Vikranth Srivatsa, Hao Zhang, Yiying Zhang",ICML,2024,https://proceedings.mlr.press/v235/abhyankar24a.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/abhyankar24a/abhyankar24a.pdf,Main Conference,https://proceedings.mlr.press/v235/
ICML2024-0004,Balancing Feature Similarity and Label Variability for Optimal Size-Aware One-shot Subset Selection,"Abhinab Acharya, Dayou Yu, Qi Yu, Xumin Liu",ICML,2024,https://proceedings.mlr.press/v235/acharya24a.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/acharya24a/acharya24a.pdf,Main Conference,https://proceedings.mlr.press/v235/
ICML2024-0005,Bayesian Uncertainty for Gradient Aggregation in Multi-Task Learning,"Idan Achituve, Idit Diamant, Arnon Netzer, Gal Chechik, Ethan Fetaya",ICML,2024,https://proceedings.mlr.press/v235/achituve24a.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/achituve24a/achituve24a.pdf,Main Conference,https://proceedings.mlr.press/v235/
ICML2024-0006,AttnLRP: Attention-Aware Layer-Wise Relevance Propagation for Transformers,"Reduan Achtibat, Sayed Mohammad Vakilzadeh Hatefi, Maximilian Dreyer, Aakriti Jain, Thomas Wiegand, Sebastian Lapuschkin, Wojciech Samek",ICML,2024,https://proceedings.mlr.press/v235/achtibat24a.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/achtibat24a/achtibat24a.pdf,Main Conference,https://proceedings.mlr.press/v235/
ICML2024-0007,A Unified Framework for Learning with Nonlinear Model Classes from Arbitrary Linear Samples,"Ben Adcock, Juan M. Cardenas, Nick Dexter",ICML,2024,https://proceedings.mlr.press/v235/adcock24a.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/adcock24a/adcock24a.pdf,Main Conference,https://proceedings.mlr.press/v235/
ICML2024-0008,FrameQuant: Flexible Low-Bit Quantization for Transformers,"Harshavardhan Adepu, Zhanpeng Zeng, Li Zhang, Vikas Singh",ICML,2024,https://proceedings.mlr.press/v235/adepu24a.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/adepu24a/adepu24a.pdf,Main Conference,https://proceedings.mlr.press/v235/
ICML2024-0009,BeigeMaps: Behavioral Eigenmaps for Reinforcement Learning from Images,"Sandesh Adhikary, Anqi Li, Byron Boots",ICML,2024,https://proceedings.mlr.press/v235/adhikary24a.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/adhikary24a/adhikary24a.pdf,Main Conference,https://proceedings.mlr.press/v235/
ICML2024-0010,Discovering Bias in Latent Space: An Unsupervised Debiasing Approach,"Dyah Adila, Shuai Zhang, Boran Han, Bernie Wang",ICML,2024,https://proceedings.mlr.press/v235/adila24a.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/adila24a/adila24a.pdf,Main Conference,https://proceedings.mlr.press/v235/
ICML2024-0011,Optimal Coresets for Low-Dimensional Geometric Median,"Peyman Afshani, Chris Schwiegelshohn",ICML,2024,https://proceedings.mlr.press/v235/afshani24a.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/afshani24a/afshani24a.pdf,Main Conference,https://proceedings.mlr.press/v235/
ICML2024-0012,REST: Efficient and Accelerated EEG Seizure Analysis through Residual State Updates,"Arshia Afzal, Grigorios Chrysos, Volkan Cevher, Mahsa Shoaran",ICML,2024,https://proceedings.mlr.press/v235/afzal24a.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/afzal24a/afzal24a.pdf,Main Conference,https://proceedings.mlr.press/v235/
ICML2024-0013,CHAI: Clustered Head Attention for Efficient LLM Inference,"Saurabh Agarwal, Bilge Acun, Basil Hosmer, Mostafa Elhoushi, Yejin Lee, Shivaram Venkataraman, Dimitris Papailiopoulos, Carole-Jean Wu",ICML,2024,https://proceedings.mlr.press/v235/agarwal24a.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/agarwal24a/agarwal24a.pdf,Main Conference,https://proceedings.mlr.press/v235/
ICML2024-0014,Learning to Play Atari in a World of Tokens,"Pranav Agarwal, Sheldon Andrews, Samira Ebrahimi Kahou",ICML,2024,https://proceedings.mlr.press/v235/agarwal24b.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/agarwal24b/agarwal24b.pdf,Main Conference,https://proceedings.mlr.press/v235/
ICML2024-0015,Probabilistic Generating Circuits - Demystified,"Sanyam Agarwal, Markus Bläser",ICML,2024,https://proceedings.mlr.press/v235/agarwal24c.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/agarwal24c/agarwal24c.pdf,Main Conference,https://proceedings.mlr.press/v235/
ICML2024-0016,Improved Differentially Private and Lazy Online Convex Optimization: Lower Regret without Smoothness Requirements,"Naman Agarwal, Satyen Kale, Karan Singh, Abhradeep Guha Thakurta",ICML,2024,https://proceedings.mlr.press/v235/agarwal24d.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/agarwal24d/agarwal24d.pdf,Main Conference,https://proceedings.mlr.press/v235/
