id,title,authors,conference,year,official_page,pdf_link,matched_keywords,matched_axis,classification_reason
ICML2025-0037,Nesterov Method for Asynchronous Pipeline Parallel Optimization,"Thalaiyasingam Ajanthan, Sameera Ramasinghe, Yan Zuo, Gil Avraham, Alexander Long",ICML,2025,https://proceedings.mlr.press/v267/ajanthan25a.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/ajanthan25a/ajanthan25a.pdf,asynchronous,Ambiguous,Broad title keyword candidate inspected via official abstract/page. Final screening: E - Official abstract/page inspection did not confirm event-camera/DVS or SNN relevance.
ICML2025-0072,Faster Stochastic Optimization with Arbitrary Delays via Adaptive Asynchronous Mini-Batching,"Amit Attia, Ofir Gaash, Tomer Koren",ICML,2025,https://proceedings.mlr.press/v267/attia25a.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/attia25a/attia25a.pdf,asynchronous,Ambiguous,Broad title keyword candidate inspected via official abstract/page. Final screening: E - Official abstract/page inspection did not confirm event-camera/DVS or SNN relevance.
ICML2025-0181,Temporal Misalignment in ANN-SNN Conversion and its Mitigation via Probabilistic Spiking Neurons,"Velibor Bojkovic, Xiaofeng Wu, Bin Gu",ICML,2025,https://proceedings.mlr.press/v267/bojkovic25a.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/bojkovic25a/bojkovic25a.pdf,snn; spiking neurons; spiking,Both axes,Broad title keyword candidate inspected via official abstract/page. Final screening: A - Official abstract/page confirms both event-camera/DVS/visual-event-stream evidence and SNN/spiking neural computation.
ICML2025-0323,A Chaotic Dynamics Framework Inspired by Dorsal Stream for Event Signal Processing,"Yu Chen, Jing Lian, Zhaofei Yu, Jizhao Liu, Jisheng Dang, Gang Wang",ICML,2025,https://proceedings.mlr.press/v267/chen25am.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/chen25am/chen25am.pdf,event,Event Camera axis,Broad title keyword candidate inspected via official abstract/page. Final screening: B - Official abstract/page confirms event-camera/DVS/visual-event-stream evidence; no clear SNN evidence found.
ICML2025-0593,Distributed Event-Based Learning via ADMM,"Guner Dilsad Er, Sebastian Trimpe, Michael Muehlebach",ICML,2025,https://proceedings.mlr.press/v267/er25a.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/er25a/er25a.pdf,event; event-based,Ambiguous,Broad title keyword candidate inspected via official abstract/page. Final screening: E - Official abstract/page inspection did not confirm event-camera/DVS or SNN relevance.
ICML2025-0642,Efficient Parallel Training Methods for Spiking Neural Networks with Constant Time Complexity,"Wanjin Feng, Xingyu Gao, Wenqian Du, Hailong Shi, Peilin Zhao, Pengcheng Wu, Chunyan Miao",ICML,2025,https://proceedings.mlr.press/v267/feng25e.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/feng25e/feng25e.pdf,spiking neural networks; spiking,SNN axis,Broad title keyword candidate inspected via official abstract/page. Final screening: C - Official abstract/page confirms SNN/spiking neural computation; no clear event-camera/DVS evidence found.
ICML2025-0826,ReverB-SNN: Reversing Bit of the Weight and Activation for Spiking Neural Networks,"Yufei Guo, Yuhan Zhang, Zhou Jie, Xiaode Liu, Xin Tong, Yuanpei Chen, Weihang Peng, Zhe Ma",ICML,2025,https://proceedings.mlr.press/v267/guo25t.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/guo25t/guo25t.pdf,spiking neural networks; snn; spiking,SNN axis,Broad title keyword candidate inspected via official abstract/page. Final screening: C - Official abstract/page confirms SNN/spiking neural computation; no clear event-camera/DVS evidence found.
ICML2025-0830,LAST SToP for Modeling Asynchronous Time Series,"Shubham Gupta, Thibaut Durand, Graham W. Taylor, Lilian Bialokozowicz",ICML,2025,https://proceedings.mlr.press/v267/gupta25a.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/gupta25a/gupta25a.pdf,asynchronous,Ambiguous,Broad title keyword candidate inspected via official abstract/page. Final screening: E - Official abstract/page inspection did not confirm event-camera/DVS or SNN relevance.
ICML2025-0864,Faster and Stronger: When ANN-SNN Conversion Meets Parallel Spiking Calculation,"Zecheng Hao, Qichao Ma, Kang Chen, Yi Zhang, Zhaofei Yu, Tiejun Huang",ICML,2025,https://proceedings.mlr.press/v267/hao25c.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/hao25c/hao25c.pdf,snn; spiking,SNN axis,Broad title keyword candidate inspected via official abstract/page. Final screening: C - Official abstract/page confirms SNN/spiking neural computation; no clear event-camera/DVS evidence found.
ICML2025-0988,Differential Coding for Training-Free ANN-to-SNN Conversion,"Zihan Huang, Wei Fang, Tong Bu, Peng Xue, Zecheng Hao, Wenxuan Liu, Yuanhong Tang, Zhaofei Yu, Tiejun Huang",ICML,2025,https://proceedings.mlr.press/v267/huang25i.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/huang25i/huang25i.pdf,snn; ann-to-snn,SNN axis,Broad title keyword candidate inspected via official abstract/page. Final screening: C - Official abstract/page confirms SNN/spiking neural computation; no clear event-camera/DVS evidence found.
