id,title,authors,conference,year,official_page,pdf_link,matched_keywords,matched_axis,classification_reason
NeurIPS2024-0020,Slot-VLM: Object-Event Slots for Video-Language Modeling,"Jiaqi Xu, Cuiling Lan, Wenxuan Xie, Xuejin Chen, Yan Lu",NeurIPS,2024,https://papers.nips.cc/paper_files/paper/2024/hash/0147d967a5db3b8dde08d2a327b24568-Abstract-Conference.html,https://papers.nips.cc/paper_files/paper/2024/file/0147d967a5db3b8dde08d2a327b24568-Paper-Conference.pdf,event,Ambiguous,Strict two-stage screening: title hit inspected via official NeurIPS paper page. Track: Main Conference Track. Final screening: E - Official abstract/page does not confirm event-camera/DVS/visual-event-stream evidence or SNN/spiking neural computation.
NeurIPS2024-0123,Shadowheart SGD: Distributed Asynchronous SGD with Optimal Time Complexity Under Arbitrary Computation and Communication Heterogeneity,"Alexander Tyurin, Marta Pozzi, Ivan Ilin, Peter Richtárik",NeurIPS,2024,https://papers.nips.cc/paper_files/paper/2024/hash/06e2dd57e90a736a5a1fd3bb2bf95c6c-Abstract-Conference.html,https://papers.nips.cc/paper_files/paper/2024/file/06e2dd57e90a736a5a1fd3bb2bf95c6c-Paper-Conference.pdf,asynchronous,Ambiguous,Strict two-stage screening: title hit inspected via official NeurIPS paper page. Track: Main Conference Track. Final screening: E - Official abstract/page does not confirm event-camera/DVS/visual-event-stream evidence or SNN/spiking neural computation.
NeurIPS2024-0246,Stability and Generalization of Asynchronous SGD: Sharper Bounds Beyond Lipschitz and Smoothness,"Xiaoge Deng, Tao Sun, Shengwei Li, Dongsheng Li, Xicheng Lu",NeurIPS,2024,https://papers.nips.cc/paper_files/paper/2024/hash/0e7e2af2e5ba822c9ad35a37b31b5dd4-Abstract-Conference.html,https://papers.nips.cc/paper_files/paper/2024/file/0e7e2af2e5ba822c9ad35a37b31b5dd4-Paper-Conference.pdf,asynchronous,Ambiguous,Strict two-stage screening: title hit inspected via official NeurIPS paper page. Track: Main Conference Track. Final screening: E - Official abstract/page does not confirm event-camera/DVS/visual-event-stream evidence or SNN/spiking neural computation.
NeurIPS2024-0258,Incorporating Surrogate Gradient Norm to Improve Offline Optimization Techniques,"Manh Cuong Dao, Phi Le Nguyen, Thao Nguyen Truong, Trong Nghia Hoang",NeurIPS,2024,https://papers.nips.cc/paper_files/paper/2024/hash/0f588c9d9fa34762362697c1dd463294-Abstract-Conference.html,https://papers.nips.cc/paper_files/paper/2024/file/0f588c9d9fa34762362697c1dd463294-Paper-Conference.pdf,surrogate gradient,SNN axis,"Strict two-stage screening: title hit inspected via official NeurIPS paper page. Track: Main Conference Track. Final screening: E - Manual boundary check: surrogate-gradient norm is used for offline black-box optimization, not SNN/spiking-neural computation."
NeurIPS2024-0287,A generalized neural tangent kernel for surrogate gradient learning,"Luke Eilers, Raoul-Martin Memmesheimer, Sven Goedeke",NeurIPS,2024,https://papers.nips.cc/paper_files/paper/2024/hash/10f1737aa6347ccc555ac068e1b45523-Abstract-Conference.html,https://papers.nips.cc/paper_files/paper/2024/file/10f1737aa6347ccc555ac068e1b45523-Paper-Conference.pdf,surrogate gradient,SNN axis,Strict two-stage screening: title hit inspected via official NeurIPS paper page. Track: Main Conference Track. Final screening: C - Official abstract/page strictly confirms SNN/spiking neural computation; no clear event-camera/DVS evidence found.
NeurIPS2024-0322,Spiking Transformer with Experts Mixture,"Zhaokun Zhou, Yijie Lu, Yanhao Jia, Kaiwei Che, Jun Niu, Liwei Huang, Xinyu Shi, Yuesheng Zhu, Guoqi Li, Zhaofei Yu, Li Yuan",NeurIPS,2024,https://papers.nips.cc/paper_files/paper/2024/hash/137101016144540ed3191dc2b02f09a5-Abstract-Conference.html,https://papers.nips.cc/paper_files/paper/2024/file/137101016144540ed3191dc2b02f09a5-Paper-Conference.pdf,spiking transformer; spiking,SNN axis,Strict two-stage screening: title hit inspected via official NeurIPS paper page. Track: Main Conference Track. Final screening: C - Official abstract/page strictly confirms SNN/spiking neural computation; no clear event-camera/DVS evidence found.
NeurIPS2024-0416,QKFormer: Hierarchical Spiking Transformer using Q-K Attention,"Chenlin Zhou, Han Zhang, Zhaokun Zhou, Liutao Yu, Liwei Huang, Xiaopeng Fan, Li Yuan, Zhengyu Ma, Huihui Zhou, Yonghong Tian",NeurIPS,2024,https://papers.nips.cc/paper_files/paper/2024/hash/179f5dcdeedc149443ebd3ba70811dbd-Abstract-Conference.html,https://papers.nips.cc/paper_files/paper/2024/file/179f5dcdeedc149443ebd3ba70811dbd-Paper-Conference.pdf,spiking transformer; spiking,SNN axis,Strict two-stage screening: title hit inspected via official NeurIPS paper page. Track: Main Conference Track. Final screening: C - Official abstract/page strictly confirms SNN/spiking neural computation; no clear event-camera/DVS evidence found.
NeurIPS2024-0423,Zero-Shot Event-Intensity Asymmetric Stereo via Visual Prompting from Image Domain,"Hanyue Lou, Jinxiu Liang, Minggui Teng, Bin Fan, Yong Xu, Boxin Shi",NeurIPS,2024,https://papers.nips.cc/paper_files/paper/2024/hash/17f21a0a111c9e3a4cd96708d30064f2-Abstract-Conference.html,https://papers.nips.cc/paper_files/paper/2024/file/17f21a0a111c9e3a4cd96708d30064f2-Paper-Conference.pdf,event,Ambiguous,Strict two-stage screening: title hit inspected via official NeurIPS paper page. Track: Main Conference Track. Final screening: B - Official abstract/page strictly confirms event-camera/DVS/visual-event-stream evidence; no clear SNN evidence found.
NeurIPS2024-0496,FT-AED: Benchmark Dataset for Early Freeway Traffic Anomalous Event Detection,"Austin Coursey, Junyi Ji, Marcos Quinones-Grueiro, William Barbour, Yuhang Zhang, Tyler Derr, Gautam Biswas, Daniel B. Work",NeurIPS,2024,https://papers.nips.cc/paper_files/paper/2024/hash/1c2e08b3af7fee5cdc2755c654738c33-Abstract-Datasets_and_Benchmarks_Track.html,https://papers.nips.cc/paper_files/paper/2024/file/1c2e08b3af7fee5cdc2755c654738c33-Paper-Datasets_and_Benchmarks_Track.pdf,event,Ambiguous,Strict two-stage screening: title hit inspected via official NeurIPS paper page. Track: Datasets and Benchmarks Track. Final screening: E - Official abstract/page does not confirm event-camera/DVS/visual-event-stream evidence or SNN/spiking neural computation.
NeurIPS2024-0539,Ordered Momentum for Asynchronous SGD,"Chang-Wei Shi, Yi-Rui Yang, Wu-Jun Li",NeurIPS,2024,https://papers.nips.cc/paper_files/paper/2024/hash/1e5cff01121223de917a84a242de30a5-Abstract-Conference.html,https://papers.nips.cc/paper_files/paper/2024/file/1e5cff01121223de917a84a242de30a5-Paper-Conference.pdf,asynchronous,Ambiguous,Strict two-stage screening: title hit inspected via official NeurIPS paper page. Track: Main Conference Track. Final screening: E - Official abstract/page does not confirm event-camera/DVS/visual-event-stream evidence or SNN/spiking neural computation.
