id,title,authors,conference,year,level,category,official_page,pdf_link,abstract,matched_keywords,classification_reason,card_path,notes
NeurIPS2025-0035,DERD-Net: Learning Depth from Event-based Ray Densities,"Diego de Oliveira Hitzges, Suman Ghosh, Guillermo Gallego",NeurIPS,2025,B,Event Camera,https://papers.nips.cc/paper_files/paper/2025/hash/019ef89617d539b15ed610ce8d1b76e1-Abstract-Conference.html,https://papers.nips.cc/paper_files/paper/2025/hash/019ef89617d539b15ed610ce8d1b76e1-Paper-Conference.pdf,"Event cameras offer a promising avenue for multi-view stereo depth estimation and Simultaneous Localization And Mapping (SLAM) due to their ability to detect blur-free 3D edges at high-speed and over broad illumination conditions. However, traditional deep learning frameworks designed for conventional cameras struggle with the asynchronous, stream-like nature of event data, as their architectures are optimized for discrete, image-like inputs. We propose a scalable, flexible and adaptable framework for pixel-wise depth estimation with event cameras in both monocular and stereo setups. The 3D scene structure is encoded into disparity space images (DSIs), representing spatial densities of rays obtained by back-projecting events into space via known camera poses. Our neural network processes local subregions of the DSIs combining 3D convolutions and a recurrent structure to recognize valuable patterns for depth prediction. Local processing enables fast inference with full parallelization and ensures constant ultra-low model complexity and memory costs, regardless of camera resolution. Experiments on standard benchmarks (MVSEC and DSEC datasets) demonstrate unprecedented effectiveness: (i) using purely monocular data, our method achieves comparable results to existing stereo methods; (ii) when applied to stereo data, it strongly outperforms all state-of-the-art (SOTA) approaches, reducing the mean absolute error by at least 42\%; (iii) our method also allows for increases in depth completeness by more than 3-fold while still yielding a reduction in median absolute error of at least 30\%. Given its remarkable performance and effective processing of event-data, our framework holds strong potential to become a standard approach for using deep learning for event-based depth estimation and SLAM.",event cameras; event camera visual-event context; event cameras visual-event context; event-based with event-camera context,Official abstract/page strictly confirms event-camera/DVS/visual-event-sensor evidence; no clear SNN evidence found.,01-papers-by-conference/NeurIPS2025/B/2025-NEURIPS-B-derd-net-learning-depth-from-event-based-ray-densities.md,strict two-stage rescan; official abstract/page inspected; needs human verification; Track: Main Conference Track
NeurIPS2025-0641,FLAME: Fast Long-context Adaptive Memory for Event-based Vision,"Biswadeep Chakraborty, Saibal Mukhopadhyay",NeurIPS,2025,A,SNN + Event Camera,https://papers.nips.cc/paper_files/paper/2025/hash/1b71649968436c64a765e469ab6b615c-Abstract-Conference.html,https://papers.nips.cc/paper_files/paper/2025/hash/1b71649968436c64a765e469ab6b615c-Paper-Conference.pdf,"We propose Fast Long-range Adaptive Memory for Event (FLAME), a novel scalable architecture that combines neuro-inspired feature extraction with robust structured sequence modeling to efficiently process asynchronous and sparse event camera data. As a departure from conventional input encoding methods, FLAME presents Event Attention Layer, a novel feature extractor that leverages neuromorphic dynamics (Leaky Integrate-and-Fire (LIF)) to directly capture multi-timescale features from event streams. The feature extractor is integrates with a structured state-space model with a novel Event-Aware HiPPO (EA-HiPPO) mechanism that dynamically adapts memory retention based on inter-event intervals to understand relationship across varying temporal scales and event sequences. A Normal Plus Low Rank (NPLR) decomposition reduces the computational complexity of state update from $\mathcal{O}(N^2)$ to $\mathcal{O}(Nr)$, where $N$ represents the dimension of the core state vector and $r$ is the rank of a low-rank component (with $r \ll N$). FLAME demonstrates state-of-the-art accuracy for event-by-event processing on complex event camera datasets.",event cameras; event camera data; event camera visual-event context; event stream with event-camera context; event-based vision with event-camera context; event-based with event-camera context; leaky integrate-and-fire; integrate-and-fire; lif,Official abstract/page strictly confirms both event-camera/DVS/visual-event-sensor evidence and SNN/spiking neural computation.,01-papers-by-conference/NeurIPS2025/A/2025-NEURIPS-A-flame-fast-long-context-adaptive-memory-for-event-based-vision.md,strict two-stage rescan; official abstract/page inspected; needs human verification; Track: Main Conference Track
NeurIPS2025-1061,Injecting Frame-Event Complementary Fusion into Diffusion for Optical Flow in Challenging Scenes,"Haonan Wang, Hanyu Zhou, Haoyue Liu, Luxin Yan",NeurIPS,2025,B,Event Camera,https://papers.nips.cc/paper_files/paper/2025/hash/2d7b46ab7623124c2705683dea36fbef-Abstract-Conference.html,https://papers.nips.cc/paper_files/paper/2025/hash/2d7b46ab7623124c2705683dea36fbef-Paper-Conference.pdf,"Optical flow estimation has achieved promising results in conventional scenes but faces challenges in high-speed and low-light scenes, which suffer from motion blur and insufficient illumination. These conditions lead to weakened texture and amplified noise and deteriorate the appearance saturation and boundary completeness of frame cameras, which are necessary for motion feature matching. In degraded scenes, the frame camera provides dense appearance saturation but sparse boundary completeness due to its long imaging time and low dynamic range. In contrast, the event camera offers sparse appearance saturation, while its short imaging time and high dynamic range gives rise to dense boundary completeness. Traditionally, existing methods utilize feature fusion or domain adaptation to introduce event to improve boundary completeness. However, the appearance features are still deteriorated, which severely affects the mostly adopted discriminative models that learn the mapping from visual features to motion fields and generative models that generate motion fields based on given visual features. So we introduce diffusion models that learn the mapping from noising flow to clear flow, which is not affected by the deteriorated visual features. Therefore, we propose a novel optical flow estimation framework Diff-ABFlow based on diffusion models with frame-event appearance-boundary fusion. Inspired by the appearance-boundary complementarity of frame and event, we propose an Attention-Guided Appearance-Boundary Fusion module to fuse frame and event. Based on diffusion models, we propose a Multi-Condition Iterative Denoising Decoder. Our proposed method can effectively utilize the respective advantages of frame and event, and shows great robustness to degraded input. In addition, we propose a dual-modal optical flow dataset for generalization experiments. Extensive experiments have verified the superiority of our proposed method. The code is released at .",event cameras; event camera visual-event context; frame-event visual-event context,Official abstract/page strictly confirms event-camera/DVS/visual-event-sensor evidence; no clear SNN evidence found.,01-papers-by-conference/NeurIPS2025/B/2025-NEURIPS-B-injecting-frame-event-complementary-fusion-into-diffusion-for-optical-flow-in-challenging-.md,strict two-stage rescan; official abstract/page inspected; needs human verification; Track: Main Conference Track
NeurIPS2025-1159,Talk2Event: Grounded Understanding of Dynamic Scenes from Event Cameras,"Lingdong Kong, Dongyue Lu, Alan Liang, Rong Li, Yuhao Dong, Tianshuai Hu, Lai Xing Ng, Wei Ooi, Benoit Cottereau",NeurIPS,2025,B,Event Camera,https://papers.nips.cc/paper_files/paper/2025/hash/314090ba556f0f45926bb6632e370c50-Abstract-Conference.html,https://papers.nips.cc/paper_files/paper/2025/hash/314090ba556f0f45926bb6632e370c50-Paper-Conference.pdf,"Event cameras offer microsecond-level latency and robustness to motion blur, making them ideal for understanding dynamic environments. Yet, connecting these asynchronous streams to human language remains an open challenge. We introduce Talk2Event, the first large-scale benchmark for language-driven object grounding in event-based perception. Built from real-world driving data, Talk2Event provides over 30,000 validated referring expressions, each enriched with four grounding attributes -- appearance, status, relation to viewer, and relation to other objects -- bridging spatial, temporal, and relational reasoning. To fully exploit these cues, we propose EventRefer, an attribute-aware grounding framework that dynamically fuses multi-attribute representations through a Mixture of Event-Attribute Experts (MoEE). Our method adapts to different modalities and scene dynamics, achieving consistent gains over state-of-the-art baselines in event-only, frame-only, and event-frame fusion settings. We hope our dataset and approach will establish a foundation for advancing multimodal, temporally-aware, and language-driven perception in real-world robotics and autonomy.",event cameras; event camera visual-event context; event cameras visual-event context; event-frame visual-event context; event-based with event-camera context,Official abstract/page strictly confirms event-camera/DVS/visual-event-sensor evidence; no clear SNN evidence found.,01-papers-by-conference/NeurIPS2025/B/2025-NEURIPS-B-talk2event-grounded-understanding-of-dynamic-scenes-from-event-cameras.md,strict two-stage rescan; official abstract/page inspected; needs human verification; Track: Main Conference Track
NeurIPS2025-1206,Unveiling the Spatial-temporal Effective Receptive Fields of Spiking Neural Networks,"Jieyuan Zhang, Xiaolong Zhou, Shuai Wang, Wenjie Wei, Hanwen Liu, Qian Sun, Malu Zhang, Yang Yang, Haizhou Li",NeurIPS,2025,C,SNN,https://papers.nips.cc/paper_files/paper/2025/hash/3353b22e6b85a76d45d6b01aa4328be5-Abstract-Conference.html,https://papers.nips.cc/paper_files/paper/2025/hash/3353b22e6b85a76d45d6b01aa4328be5-Paper-Conference.pdf,"Spiking Neural Networks (SNNs) demonstrate significant potential for energy-efficient neuromorphic computing through an event-driven paradigm. While training methods and computational models have greatly advanced, SNNs struggle to achieve competitive performance in visual long-sequence modeling tasks. In artificial neural networks, the effective receptive field (ERF) serves as a valuable tool for analyzing feature extraction capabilities in visual long-sequence modeling. Inspired by this, we introduce the Spatio-Temporal Effective Receptive Field (ST-ERF) to analyze the ERF distributions across various Transformer-based SNNs. Based on the proposed ST-ERF, we reveal that these models suffer from establishing a robust global ST-ERF, thereby limiting their visual feature modeling capabilities. To overcome this issue, we propose two novel channel-mixer architectures: \underline{m}ulti-\underline{l}ayer-\underline{p}erceptron-based m\underline{ixer} (MLPixer) and \underline{s}plash-and-\underline{r}econstruct \underline{b}lock (SRB). These architectures enhance global spatial ERF through all timesteps in early network stages of Transformer-based SNNs, improving performance on challenging visual long-sequence modeling tasks. Extensive experiments conducted on the Meta-SDT variants and across object detection and semantic segmentation tasks further validate the effectiveness of our proposed method. Beyond these specific applications, we believe the proposed ST-ERF framework can provide valuable insights for designing and optimizing SNN architectures across a broader range of tasks. The code is available at \href{https://github.com/EricZhang1412/Spatial-temporal-ERF}{\faGithub~EricZhang1412/Spatial-temporal-ERF}.",spiking neural networks; snns,Official abstract/page strictly confirms SNN/spiking neural computation; no clear event-camera/DVS evidence found.,01-papers-by-conference/NeurIPS2025/C/2025-NEURIPS-C-unveiling-the-spatial-temporal-effective-receptive-fields-of-spiking-neural-networks.md,strict two-stage rescan; official abstract/page inspected; needs human verification; Track: Main Conference Track
NeurIPS2025-1367,HetSyn: Versatile Timescale Integration in Spiking Neural Networks via Heterogeneous Synapses,"Zhichao Deng, Zhikun Liu, Junxue Wang, Shengqian Chen, Xiang Wei, Qiang Yu",NeurIPS,2025,C,SNN,https://papers.nips.cc/paper_files/paper/2025/hash/3a4e2c6a07ede771fbe53201d31df1e9-Abstract-Conference.html,https://papers.nips.cc/paper_files/paper/2025/hash/3a4e2c6a07ede771fbe53201d31df1e9-Paper-Conference.pdf,"Spiking Neural Networks (SNNs) offer a biologically plausible and energy-efficient framework for temporal information processing. However, existing studies overlook a fundamental property widely observed in biological neurons—synaptic heterogeneity, which plays a crucial role in temporal processing and cognitive capabilities. To bridge this gap, we introduce HetSyn, a generalized framework that models synaptic heterogeneity with synapse-specific time constants. This design shifts temporal integration from the membrane potential to the synaptic current, enabling versatile timescale integration and allowing the model to capture diverse synaptic dynamics. We implement HetSyn as HetSynLIF, an extended form of the leaky integrate-and-fire (LIF) model equipped with synapse-specific decay dynamics. By adjusting the parameter configuration, HetSynLIF can be specialized into vanilla LIF neurons, neurons with threshold adaptation, and neuron-level heterogeneous models. We demonstrate that HetSynLIF not only improves the performance of SNNs across a variety of tasks—including pattern generation, delayed match-to-sample, speech recognition, and visual recognition—but also exhibits strong robustness to noise, enhanced working memory performance, efficiency under limited neuron resources, and generalization across timescales. In addition, analysis of the learned synaptic time constants reveals trends consistent with empirical observations in biological synapses. These findings underscore the significance of synaptic heterogeneity in enabling efficient neural computation, offering new insights into brain-inspired temporal modeling. Code available at: https://github.com/dzcgood/HetSyn.",spiking neural networks; snns; leaky integrate-and-fire; integrate-and-fire; lif,Official abstract/page strictly confirms SNN/spiking neural computation; no clear event-camera/DVS evidence found.,01-papers-by-conference/NeurIPS2025/C/2025-NEURIPS-C-hetsyn-versatile-timescale-integration-in-spiking-neural-networks-via-heterogeneous-synaps.md,strict two-stage rescan; official abstract/page inspected; needs human verification; Track: Main Conference Track
NeurIPS2025-1437,SPACE: SPike-Aware Consistency Enhancement for Test-Time Adaptation in Spiking Neural Networks,"Xinyu Luo, Kecheng Chen, Pao-Sheng Sun, Chris Xing TIAN, Arindam Basu, Haoliang Li",NeurIPS,2025,C,SNN,https://papers.nips.cc/paper_files/paper/2025/hash/3d9f111e9139bb008ffdfc6b466f3bf5-Abstract-Conference.html,https://papers.nips.cc/paper_files/paper/2025/hash/3d9f111e9139bb008ffdfc6b466f3bf5-Paper-Conference.pdf,"Spiking Neural Networks (SNNs), as a biologically plausible alternative to Artificial Neural Networks (ANNs), have demonstrated advantages in terms of energy efficiency, temporal processing, and biological plausibility. However, SNNs are highly sensitive to distribution shifts, which can significantly degrade their performance in real-world scenarios. Traditional test-time adaptation (TTA) methods designed for ANNs often fail to address the unique computational dynamics of SNNs, such as sparsity and temporal spiking behavior. To address these challenges, we propose SPike-Aware Consistency Enhancement (SPACE), the first source-free and single-instance TTA method specifically designed for SNNs. SPACE leverages the inherent spike dynamics of SNNs to maximize the consistency of spike-behavior-based local feature maps across augmented versions of a single test sample, enabling robust adaptation without requiring source data. We evaluate SPACE on multiple datasets. Furthermore, SPACE exhibits robust generalization across diverse network architectures, consistently enhancing the performance of SNNs on CNNs, Transformer, and ConvLSTM architectures. Experimental results show that SPACE outperforms state-of-the-art ANN methods while maintaining lower computational cost, highlighting its effectiveness and robustness for SNNs in real-world settings. The code will be available at https://github.com/ethanxyluo/SPACE.",spiking neural networks; snns,Official abstract/page strictly confirms SNN/spiking neural computation; no clear event-camera/DVS evidence found.,01-papers-by-conference/NeurIPS2025/C/2025-NEURIPS-C-space-spike-aware-consistency-enhancement-for-test-time-adaptation-in-spiking-neural-netwo.md,strict two-stage rescan; official abstract/page inspected; needs human verification; Track: Main Conference Track
NeurIPS2025-1514,S$^2$NN: Sub-bit Spiking Neural Networks,"Wenjie Wei, Malu Zhang, Jieyuan Zhang, Ammar Belatreche, Shuai Wang, Yimeng Shan, Hanwen Liu, Honglin Cao, Guoqing Wang, Yang Yang, Haizhou Li",NeurIPS,2025,C,SNN,https://papers.nips.cc/paper_files/paper/2025/hash/40cba0984b4a2fa3b9f3e1231572e128-Abstract-Conference.html,https://papers.nips.cc/paper_files/paper/2025/hash/40cba0984b4a2fa3b9f3e1231572e128-Paper-Conference.pdf,"Spiking Neural Networks (SNNs) offer an energy-efficient paradigm for machine intelligence, but their continued scaling poses challenges for resource-limited deployment. Despite recent advances in binary SNNs, the storage and computational demands remain substantial for large-scale networks. To further explore the compression and acceleration potential of SNNs, we propose Sub-bit Spiking Neural Networks (S$^2$NNs) that represent weights with less than one bit. Specifically, we first establish an S$^2$NN baseline by leveraging the clustering patterns of kernels in well-trained binary SNNs. This baseline is highly efficient but suffers from \textit{outlier-induced codeword selection bias} during training. To mitigate this issue, we propose an \textit{outlier-aware sub-bit weight quantization} (OS-Quant) method, which optimizes codeword selection by identifying and adaptively scaling outliers. Furthermore, we propose a \textit{membrane potential-based feature distillation} (MPFD) method, improving the performance of highly compressed S$^2$NN via more precise guidance from a teacher model. Extensive results on vision reveal that S$^2$NN outperforms existing quantized SNNs in both performance and efficiency, making it promising for edge computing applications.",spiking neural networks; snns,Official abstract/page strictly confirms SNN/spiking neural computation; no clear event-camera/DVS evidence found.,01-papers-by-conference/NeurIPS2025/C/2025-NEURIPS-C-s-2-nn-sub-bit-spiking-neural-networks.md,strict two-stage rescan; official abstract/page inspected; needs human verification; Track: Main Conference Track
NeurIPS2025-2173,GS2E: Gaussian Splatting is an Effective Data Generator for Event Stream Generation,"Yuchen Li, Chaoran Feng, Zhenyu Tang, Kaiyuan Deng, Wangbo Yu, Yonghong Tian, Li Yuan",NeurIPS,2025,B,Event Camera,https://papers.nips.cc/paper_files/paper/2025/hash/5dd2d7a5dba72af7a2d78128e02514f4-Abstract-Datasets_and_Benchmarks_Track.html,https://papers.nips.cc/paper_files/paper/2025/hash/5dd2d7a5dba72af7a2d78128e02514f4-Paper-Datasets_and_Benchmarks_Track.pdf,"We introduce GS2E (Gaussian Splatting to Event Generation), a large-scale synthetic event dataset designed for high-fidelity event vision tasks, captured from real-world sparse multi-view RGB images. Existing event datasets are often synthesized from dense RGB videos, which typically suffer from limited viewpoint diversity and geometric inconsistency, or rely on expensive, hard-to-scale hardware setups. GS2E addresses these limitations by first reconstructing photorealistic static scenes using 3D Gaussian Splatting, followed by a novel, physically-informed event simulation pipeline. This pipeline integrates adaptive trajectory interpolation with physically-consistent event contrast threshold modeling. As a result, it generates temporally dense and geometrically consistent event streams under diverse motion and lighting conditions, while maintaining strong alignment with the underlying scene structure. Experimental results on event-based 3D reconstruction highlight GS2E’s superior generalization capabilities and its practical value as a benchmark for advancing event vision research.",event dataset visual-event context; event datasets visual-event context; event stream with event-camera context; event-based with event-camera context,Official abstract/page strictly confirms event-camera/DVS/visual-event-sensor evidence; no clear SNN evidence found.,01-papers-by-conference/NeurIPS2025/B/2025-NEURIPS-B-gs2e-gaussian-splatting-is-an-effective-data-generator-for-event-stream-generation.md,strict two-stage rescan; official abstract/page inspected; needs human verification; Track: Datasets and Benchmarks Track; NeurIPS all-track special handling: non-main track is eligible as a formal long paper but should be lower priority for A/P0 unless highly relevant.
NeurIPS2025-2213,Multiplication-Free Parallelizable Spiking Neurons with Efficient Spatio-Temporal Dynamics,"Peng Xue, Wei Fang, Zhengyu Ma, Zihan Huang, Zhaokun Zhou, Yonghong Tian, Timothée Masquelier, Huihui Zhou",NeurIPS,2025,C,SNN,https://papers.nips.cc/paper_files/paper/2025/hash/5f40a99efedc1148a061d80201949c84-Abstract-Conference.html,https://papers.nips.cc/paper_files/paper/2025/hash/5f40a99efedc1148a061d80201949c84-Paper-Conference.pdf,"Spiking Neural Networks (SNNs) are distinguished from Artificial Neural Networks (ANNs) for their complex neuronal dynamics and sparse binary activations (spikes) inspired by the biological neural system. Traditional neuron models use iterative step-by-step dynamics, resulting in serial computation and slow training speed of SNNs. Recently, parallelizable spiking neuron models have been proposed to fully utilize the massive parallel computing ability of graphics processing units to accelerate the training of SNNs. However, existing parallelizable spiking neuron models involve dense floating operations and can only achieve high long-term dependencies learning ability with a large order at the cost of huge computational and memory costs. To solve the dilemma of performance and costs, we propose the mul-free channel-wise Parallel Spiking Neuron, which is hardware-friendly and suitable for SNNs’ resource-restricted application scenarios. The proposed neuron imports the channel-wise convolution to enhance the learning ability, induces the sawtooth dilations to reduce the neuron order, and employs the bit-shift operation to avoid multiplications. The algorithm for the design and implementation of acceleration methods is discussed extensively. Our methods are validated in neuromorphic Spiking Heidelberg Digits voices, sequential CIFAR images, and neuromorphic DVS-Lip vision datasets, achieving superior performance over SOTA spiking neurons. Training speed results demonstrate the effectiveness of our acceleration methods, providing a practical reference for future research. Our code is available at Github.",dvs; dvs visual-event context; spiking neural networks; snns; spiking neurons,"Official abstract/page confirms SNN/spiking neural computation; event-camera/DVS evidence is benchmark-only or supporting context, so this is SNN background rather than A.",01-papers-by-conference/NeurIPS2025/C/2025-NEURIPS-C-multiplication-free-parallelizable-spiking-neurons-with-efficient-spatio-temporal-dynamics.md,strict two-stage rescan; official abstract/page inspected; needs human verification; Track: Main Conference Track; Manual global ABC audit 2026-07-04: downgraded A->C under benchmark-only/supporting-context rule.
