paper_key,canonical_title,authors,year,venue,doi,official_url,aliases,in_current_corpus,repository_path,metadata_source,metadata_verification_status,notes
2025-NeurIPS-step-spiking-transformer-benchmark,STEP: A Unified Spiking Transformer Evaluation Platform for Fair and Reproducible Benchmarking,Sicheng Shen; Dongcheng Zhao; Linghao Feng; Zeyang Yue; Jindong Li; Tenglong Li; Guobin Shen; Yi Zeng,2025,NeurIPS,Needs further check,https://papers.nips.cc/paper_files/paper/2025/hash/e9fece10c0f4ffdcf015ab676f370fbd-Abstract-Datasets_and_Benchmarks_Track.html,STEP,yes,06-reading-summaries/v2/papers/2025-NeurIPS-step-a-unified-spiking-transformer-evaluation-platform-for-fair-and-reproducible-benchmarking-v2.md,source PDF front matter + repository paper card,verified_from_pdf,NeurIPS 2025 Datasets and Benchmarks Track
2023-NeurIPS-spike-driven-transformer,Spike-Driven Transformer,Man Yao; Jiakui Hu; Zhaokun Zhou; Li Yuan; Yonghong Tian; Bo Xu; Guoqi Li,2023,NeurIPS,Needs further check,Needs further check,SDT | Spike-driven Transformer,no,NA,source PDF bibliography,verified_from_pdf,NA
2024-arxiv-qkformer-hierarchical-spiking-transformer,QKFormer: Hierarchical Spiking Transformer Using QK Attention,Chenlin Zhou; Han Zhang; Zhaokun Zhou; Liutao Yu; Liwei Huang; Xiaopeng Fan; Li Yuan; Zhengyu Ma; Huihui Zhou; Yonghong Tian,2024,arXiv,Needs further check,https://arxiv.org/abs/2403.16552,QKFormer,no,NA,source PDF bibliography,verified_from_pdf,NA
2025-ICML-hybrid-spiking-vision-transformer-event-detection,Hybrid Spiking Vision Transformer for Object Detection with Event Cameras,Qi Xu; Jie Deng; Jiangrong Shen; Biwu Chen; Huajin Tang; Gang Pan,2025,ICML,Needs further check,https://proceedings.mlr.press/v267/xu25e.html,HsVT,yes,06-reading-summaries/v2/papers/2025-ICML-hybrid-spiking-vision-transformer-for-object-detection-with-event-cameras-v2.md,source PDF front matter + repository paper card,verified_from_pdf,Fall Detection Dataset is generated from Le2i frame videos with an event-camera simulator
2025-arxiv-spikssd-better-extraction-fusion-object-detection-snn,SpikSSD: Better Extraction and Fusion for Object Detection with Spiking Neural Networks,Y. Fan; C. Liu; M. Li; W. Zhang,2025,arXiv,Needs further check,Needs further check,SpikSSD,no,NA,source PDF bibliography,verified_from_pdf,NA
2025-tcds-spikingvit-multiscale-spiking-vision-transformer-event-detection,SpikingViT: A Multiscale Spiking Vision Transformer Model for Event-Based Object Detection,L. Yu; H. Chen; Z. Wang; S. Zhan; J. Shao; Q. Liu; S. Xu,2025,TCDS,10.1109/TCDS.2024.3422873,https://doi.org/10.1109/TCDS.2024.3422873,SpikingViT,no,NA,source PDF bibliography,verified_from_pdf,Published in TCDS volume 17 issue 1 in 2025; DOI metadata year in identifier is 2024
2023-iccv-get-group-event-transformer-event-based-vision,GET: Group Event Transformer for Event-Based Vision,Y. Peng; Y. Zhang; Z. Xiong; X. Sun; F. Wu,2023,ICCV,Needs further check,Needs further check,GET | Group Event Transformer,no,NA,source PDF bibliography,verified_from_pdf,NA
2023-tpami-sodformer-streaming-object-detection-events-frames,SODFormer: Streaming Object Detection with Transformer Using Events and Frames,D. Li; J. Li; Y. Tian,2023,TPAMI,Needs further check,Needs further check,SODFormer,no,NA,source PDF bibliography,verified_from_pdf,NA
2018-corl-esim-open-event-camera-simulator,ESIM: an Open Event Camera Simulator,H. Rebecq; D. Gehrig; D. Scaramuzza,2018,CoRL,Needs further check,Needs further check,ESIM,no,NA,source PDF bibliography,verified_from_pdf,NA
2025-ICLR-temporal-flexibility-snn,Temporal Flexibility in Spiking Neural Networks: Towards Generalization Across Time Steps and Deployment Friendliness,Kangrui Du; Yuhang Wu; Shikuang Deng; Shi Gu,2025,ICLR,Needs further check,https://proceedings.iclr.cc/paper_files/paper/2025/hash/960842d58e6608407137f542a7b3f3be-Abstract-Conference.html,MTT | Mixed Time-step Training | TFSNN,yes,06-reading-summaries/v2/papers/2025-ICLR-temporal-flexibility-in-spiking-neural-networks-towards-generalization-across-time-steps-and-deployment-friendliness-v2.md,source PDF front matter + repository paper card,verified_from_pdf,NA
